timeStamp,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1712075417.789186,34,63,0.0016767333984375,0.0087308349609375,0.0076906494140624995,0.0015202880859375,0.002186279296875,0.003326220703125,0.0009305419921875,0.001877783203125
1712075418.8089936,14,44,0.0270683349609375,0.01973056640625,0.00506865234375,0.0046817138671875,0.00424951171875,0.001409326171875,0.0011109375,0.0014222900390624999
1712075419.8000276,27,47,0.0041811767578125,0.0029296142578124997,0.0022412109375,0.0012333251953125,0.0024029296875,0.0017360595703125,0.001107861328125,0.0008720947265625
1712075420.8209732,41,54,0.00535078125,0.0042844482421875,0.0028215087890624997,0.00202060546875,0.0020304931640625,0.0026683593749999997,0.0007261962890625,0.0021592529296875
1712075421.7790337,51,54,0.0006189697265625,0.0057592529296875,0.0066570556640625,0.0015668701171874999,0.0028142578125,0.0024908203124999998,0.0016833251953125,0.0012977050781249999
1712075423.7841597,48,34,0.018636767578124998,0.0073733642578125,0.0017839599609375,0.0004234130859375,0.00103798828125,0.0022409912109375,0.001537646484375,0.0011269775390625
1712075424.8040195,26,27,0.029602001953125,0.01730302734375,0.004145361328125,0.0031897705078124997,0.0017655029296875,0.0017369384765625,0.00045791015625,0.0006514892578125
1712075425.7950506,4,20,0.03330615234375,0.0171393310546875,0.0095956787109375,0.002002587890625,0.0013937255859374999,0.0014917236328125,0.0013822998046875,0.000856494140625
1712075426.7824886,23,48,0.00441123046875,0.0030702392578125,0.001719580078125,0.000257080078125,0.0002274169921875,0.000634130859375,0.0003662841796875,0.0003772705078125
1712075427.802974,20,57,0.023222900390625,0.0033176513671875,0.0009977783203125,0.000787939453125,0.002430615234375,0.0009406494140625,0.0007376220703125,0.0002164306640625
1712075428.7928667,34,51,0.006082470703125,0.0053830810546875,0.0020863037109375,0.0007411376953125,0.001516552734375,0.001402734375,0.0012504638671875,0.0009041748046875
1712075429.7794561,70,27,0.0386154052734375,0.003012890625,0.001252880859375,0.000821337890625,0.0007090576171875,0.0035542968749999997,0.002537841796875,0.00132451171875
1712075430.7997885,77,40,0.628526513671875,0.017251171875,0.012477392578125,0.0154232666015625,0.013808935546875,0.0083876220703125,0.0019918212890625,0.0019278808593749999
