timeStamp,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1712077485.677862,30,35,0.34776123046875,0.03493388671875,0.01507060546875,0.0056854248046874995,0.0060583007812499996,0.0014846923828125,0.0019992919921875,0.0019452392578125
1712077486.7008615,30,57,0.0019230468749999998,0.0031326416015624997,0.0271584228515625,0.0008266113281249999,0.002417431640625,0.0019375488281249999,0.00162509765625,0.001190478515625
1712077487.6928625,47,61,0.0010065673828125,0.0025286132812499997,0.0043692626953125,0.00089296875,0.000910546875,0.002723291015625,0.00236865234375,0.00087890625
1712077488.6848614,56,66,0.0112515380859375,0.0051422607421875,0.0074239013671875,0.0052541015624999994,0.0040482421874999995,0.00281953125,0.001332861328125,0.0008967041015625
1712077489.707862,69,83,0.0158187744140625,0.00524970703125,0.01310009765625,0.0018966796875,0.0011786132812499999,0.0026140869140625,0.001197509765625,0.001443603515625
1712077490.699862,81,50,0.0839845458984375,0.007484765625,0.00316845703125,0.000781787109375,0.001279248046875,0.00238798828125,0.0009639404296874999,0.0010898437499999999
1712077491.6913614,56,47,0.005014599609375,0.0121792236328125,0.0082527099609375,0.0028687499999999998,0.00199775390625,0.0005488769531249999,0.0014640380859375,0.000982177734375
1712077492.683862,50,26,0.041657080078125,0.025794140625,0.002303173828125,0.00615849609375,0.0052433349609375,0.0027296630859375,0.001835595703125,0.00163212890625
1712077493.7063618,43,23,0.037042822265625,0.0087633544921875,0.013434521484375,0.004787841796875,0.0040370361328125,0.001434814453125,0.002857763671875,0.0020260986328125
1712077494.6988616,44,34,0.007047949218749999,0.005926025390625,0.008836743164062499,0.0010918212890625,0.00312626953125,0.00456064453125,0.001579833984375,0.00129375
1712077495.6903615,67,23,0.027758715820312498,0.014881201171874999,0.0034892578125,0.0056089599609375,0.0016921142578124999,0.007192529296875,0.003105615234375,0.001779345703125
1712077496.6828613,74,48,0.0030364013671875,0.0025751953125,0.003288427734375,0.0060607177734375,0.0020243408203125,0.0017826416015624999,0.0017740722656249999,0.0012768310546875
1712077497.674862,75,27,0.045435498046875,0.00260595703125,0.0008250732421874999,0.00027839355468749997,0.00032080078125,0.0002436767578125,0.0001368896484375,0.0001052490234375
1712077498.6983614,70,14,0.0070846435546875,0.01088876953125,0.0019377685546875,0.0025286132812499997,0.0015664306640625,0.00277119140625,0.002037744140625,0.001906787109375
1712077499.6898625,54,4,0.0083296142578125,0.0109447998046875,0.0014389892578125,0.00044230957031249997,0.0011190673828124999,0.0006216064453125,0.0003864990234375,0.0003407958984375
