timeStamp,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711230044.1421404,37,30,0.3280484619140625,0.016634619140625,0.0012456298828125,0.002285595703125,0.0024216064453124997,0.0023389892578124997,0.0050253662109375,0.0026938476562499997
1711230045.1451955,27,29,0.1686076171875,0.0275851318359375,0.0005154785156249999,0.0079611328125,0.0032833740234374997,0.003157470703125,0.00299267578125,0.002172216796875
1711230047.135702,14,48,0.2737966552734375,0.1344777099609375,0.053543408203125,0.015648046875,0.0088358642578125,0.0152413330078125,0.00946845703125,0.0107984619140625
1711230048.131928,11,69,0.1241461669921875,0.0098962646484375,0.00584736328125,0.0016231201171875,0.0012087158203125,0.0016714599609374999,0.002719775390625,0.00138427734375
1711230049.1356008,35,70,0.0030315673828125,0.0043868408203125,0.0012436523437499999,0.00152138671875,0.0044505615234374995,0.0019513916015625,0.0025811279296875,0.0046948974609375
1711230050.1323135,51,70,0.0015936767578124999,0.004405078125,0.001909423828125,0.002773388671875,0.000741357421875,0.0027986572265625,0.0026002441406249997,0.0016617919921875
1711230051.1507533,78,74,0.0002757568359375,0.0041236083984375,0.0015205078125,0.0025723388671874997,0.0028845703124999998,0.00234404296875,0.004566357421875,0.0036810791015625
1711230052.1457288,100,70,0.0005370117187499999,0.0016718994140625,0.0012087158203125,0.0014860107421874999,0.0010865478515625,0.0019118408203125,0.0023614013671875,0.0013262695312499999
1711230053.150233,100,91,0.00032761230468749997,0.0015163330078125,0.002707470703125,0.002912255859375,0.0015510498046874999,0.0032156982421875,0.0030610107421875,0.0029783935546875
1711230054.1465695,100,81,0.0011942138671875,0.001556982421875,0.00091494140625,0.000891650390625,0.003008056640625,0.0017083740234375,0.0022447265625,0.0016174072265625
1711230055.1253734,100,77,0.0018815185546875,0.0053764892578125,0.0019900634765624998,0.00176044921875,0.00092548828125,0.004538232421875,0.0031840576171875,0.0033106201171875
1711230056.151335,100,74,0.0055770996093749995,0.005203125,0.002285595703125,0.0022880126953125,0.00176044921875,0.0036780029296875,0.00318955078125,0.0013985595703124999
1711230057.1486154,100,54,0.004699951171875,0.002784375,0.001306494140625,0.0010781982421875,0.0005431640625,0.004750048828125,0.003821923828125,0.0017958251953125
1711230058.1513975,100,63,0.0004921875,0.0013974609375,0.0015993896484375,0.0017360595703125,0.0012702392578125,0.003520458984375,0.0021966064453125,0.0023275634765625
1711230060.1280308,48,37,0.2067453369140625,0.0323580322265625,0.002427978515625,0.0031295654296875,0.005806494140625,0.001255517578125,0.001381201171875,0.0022989990234375
1711230063.1535835,8,23,0.0147886962890625,0.0075658447265625,0.0016435546875,0.001326708984375,0.0015123779296875,0.0024563232421875,0.0052415771484375,0.0070916748046875
1711230064.1496966,44,43,0.00179208984375,0.0037790771484374997,0.0019606201171875,0.0023895263671875,0.0009613037109375,0.0048654052734375,0.0057148681640625,0.00366416015625
1711230066.1258793,60,38,0.034566064453124996,0.008239086914062499,0.00321240234375,0.000852978515625,0.0023504150390625,0.0008611083984375,0.0006758789062499999,0.00039375
1711230067.1520064,77,47,0.003751611328125,0.0009252685546875,0.0022699951171875,0.0011551025390625,0.0031625244140625,0.0034593749999999998,0.00550546875,0.00307880859375
1711230069.128008,77,51,0.0021473876953125,0.009159741210937499,0.0015220458984375,0.0018388916015625,0.0014453613281249999,0.00290390625,0.0033099609374999998,0.0039579345703125
1711230070.12415,97,67,0.00177626953125,0.0021019042968749998,0.00524619140625,0.0011735595703125,0.001158837890625,0.0033347900390625,0.001295068359375,0.0012777099609375
