timeStamp,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711931980.0546775,30,35,0.1679407470703125,0.27701103515625,0.117177099609375,0.0817020263671875,0.0223051025390625,0.0177580810546875,0.0104926025390625,0.0054599853515625
1711931982.0636494,37,23,0.0011028076171875,0.00315966796875,0.0028685302734375,0.0010201904296875,0.0014824951171875,0.0012926513671875,0.001116650390625,0.000480322265625
1711931983.0527654,50,7,0.0027199951171875,0.0058915283203125,0.00056513671875,0.0014064697265624999,0.0009410888671875,0.0018393310546875,0.0012873779296874999,0.00068466796875
1711931985.062643,75,24,0.1062116455078125,0.013032641601562499,0.0134874755859375,0.0046157958984374995,0.0011008300781249999,0.0020401611328125,0.0006862060546874999,0.0012254150390624999
1711931986.0516748,74,29,0.0015334716796874999,0.0015488525390625,0.0028494140624999997,0.0030886962890624998,0.0034160888671875,0.001280126953125,0.0017233154296875,0.002579150390625
1711931988.0606508,54,23,0.1082050048828125,0.0154162353515625,0.0024593994140625,0.002093115234375,0.001458984375,0.0015963134765625,0.0015189697265625,0.0007290527343749999
1711931989.0500846,57,13,0.010828125,0.0026452880859374997,0.001215966796875,0.0009643798828125,0.0005820556640625,0.0004225341796875,0.00029509277343749997,0.000459228515625
1711931990.071204,50,10,0.0149794189453125,0.0112341796875,0.0037911621093749998,0.0070820068359375,0.0014466796875,0.0016820068359375,0.0015655517578125,0.000955810546875
1711931991.059643,51,1,0.0118935791015625,0.008144384765625,0.0023947998046874998,0.0004517578125,0.0008184814453125,0.0015804931640625,0.00041572265624999997,0.0002045654296875
1711931992.0804179,38,1,0.0611070556640625,0.0035694580078125,0.000627099609375,0.00023642578124999998,0.0004921875,9.777832031249999e-05,0.0001118408203125,5.7568359374999996e-05
1711931993.0696445,48,1,0.0055333740234375,0.0011436767578125,0.0032117431640625,0.00262353515625,0.0060002929687499994,0.00179033203125,0.00099580078125,0.0011309326171875
1711931994.0596495,54,7,0.0015345703125,0.0028676513671874997,0.00478916015625,0.00135,0.0011041259765625,0.0011779541015624999,0.0021166259765625,0.0013510986328125
1711931995.0804164,43,23,0.045312451171875,0.0086614013671875,0.0102919921875,0.0027446044921875,0.00236162109375,0.0013214355468749999,0.001022607421875,0.0014846923828125
1711931996.070144,64,35,0.0647303466796875,0.0048170654296875,0.0057717773437499995,0.0039574951171875,0.00999052734375,0.002498291015625,0.0019861083984375,0.0012614501953125
1711931997.0586894,69,35,0.09377380371093749,0.00552744140625,0.0036608642578125,0.003014208984375,0.0017633056640625,0.0041930419921874995,0.0038254394531249997,0.0045076904296875
1711931998.048609,69,35,0.1336721923828125,0.0699791748046875,0.0164115966796875,0.0048733154296875,0.02911640625,0.010590820312499999,0.0041750244140625,0.005930859375
1711931999.0677836,69,34,0.2723838134765625,0.0063344970703124994,0.007495751953125,0.0028019531249999998,0.0010461181640624999,0.0023354736328125,0.0015626953125,0.0009951416015625
1711932000.0559525,69,21,0.4400448486328125,0.029343603515625,0.008586474609375,0.004749609375,0.003273046875,0.0022071533203125,0.0019891845703125,0.0020634521484375
1711932001.0447445,70,23,0.0037513916015625,0.0032934814453125,0.0017756103515625,0.00322822265625,0.003078369140625,0.001599169921875,0.0020667480468749997,0.001009423828125
1711932002.0649958,61,21,0.001691015625,0.002866552734375,0.0023203125,0.00180615234375,0.0045551513671874995,0.001087646484375,0.0018503173828125,0.0022517578125
