timeStamp,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711220170.5551805,51,51,0.020952026367187498,0.0266080078125,0.018689501953125,0.008586474609375,0.0042884033203125,0.008173388671875,0.00946142578125,0.0058089111328125
1711220171.550889,38,35,0.06860390625,0.016521240234374998,0.001283203125,0.0011867431640625,0.0005627197265625,0.0006422607421875,0.0002265380859375,0.00041923828125
1711220172.5484126,61,38,0.017956494140625,0.0111078369140625,0.0046023925781249996,0.0040295654296875,0.0017347412109375,0.00562763671875,0.0029370849609375,0.0061534423828125
1711220173.5504742,84,43,0.08525126953124999,0.0084197021484375,0.0027439453125,0.0053595703125,0.0052453125,0.0055593017578125,0.0023556884765625,0.0019883056640625
1711220174.539097,70,43,0.06914047851562499,0.0091423828125,0.0044953857421875,0.0070927734375,0.0032895263671875,0.0014625,0.0005064697265625,0.0009358154296875
1711220175.5590992,84,51,0.03680771484375,0.0316404052734375,0.0054353759765625,0.0023431640625,0.00040166015625,0.0027968994140625,0.0029770751953124997,0.0031833984375
1711220177.5876665,44,63,0.647833447265625,0.020810302734375,0.018090087890625,0.00798310546875,0.008647119140625,0.0062841796875,0.0065322509765625,0.0023396484375
1711220180.574403,100,66,0.09131220703125,0.0154333740234375,0.01734873046875,0.0356701904296875,0.02188212890625,0.0167126220703125,0.0043927734375,0.0050222900390625
1711220181.5721135,84,47,0.2705411865234375,0.019680029296875,0.004122509765625,0.0015343505859375,0.001163232421875,0.001044580078125,0.00014501953125,0.00016171875
1711220182.5746672,75,44,0.17736701660156248,0.0648903076171875,0.012199658203125,0.015254736328124999,0.0024607177734375,0.011601123046875,0.0023627197265625,0.0020217041015624998
1711220183.5560606,80,40,0.0042400634765625,0.0003267333984375,0.0005956787109374999,0.0006119384765625,0.002141015625,0.00300146484375,0.002710986328125,0.002540478515625
1711220184.5415401,60,37,0.0488990478515625,0.018101513671875,0.018699609375,0.0087681884765625,0.01190390625,0.0086625,0.0044558349609375,0.0032710693359374998
1711220185.552632,60,37,0.0547648681640625,0.0047652099609375,0.00180703125,0.0008806640624999999,0.000447802734375,0.0004853759765625,0.0001773193359375,0.0001175537109375
1711220186.5742948,57,24,0.0630643798828125,0.047076416015625,0.0025428955078125,0.000926806640625,0.0008751708984374999,0.0024521484375,0.000301904296875,0.00043835449218749997
1711220187.5698102,41,27,0.0244107421875,0.0126591064453125,0.004337841796875,0.0009463623046875,0.0003008056640625,0.0011357666015625,0.0003535400390625,0.000509765625
1711220188.5401113,10,41,0.0451026123046875,0.056087402343749995,0.0156181640625,0.00346904296875,0.002878857421875,0.005682568359375,0.0016246582031249999,0.0080044189453125
1711220189.5745964,1,24,0.132147509765625,0.18634680175781249,0.0195734619140625,0.021716015624999998,0.00485068359375,0.005853295898437499,0.003971337890625,0.0029010498046875
1711220190.5628386,1,27,0.006642333984375,0.010330224609374999,0.0003249755859375,0.000678515625,0.0012315673828125,0.000493505859375,0.0006464355468749999,0.00027861328125
1711220192.564357,1,37,0.1254271728515625,0.01176416015625,0.0052174072265625,0.0026002441406249997,0.0009481201171874999,0.0017650634765625,0.0005029541015625,0.000432861328125
1711220193.5647519,10,48,0.0434028076171875,0.01379794921875,0.0085884521484375,0.0011401611328125,0.0016246582031249999,0.0030425537109374998,0.0007211425781249999,0.0005200927734375
1711220194.5754492,11,70,0.172194873046875,0.0322934326171875,0.0128142333984375,0.0072656982421875,0.011817114257812499,0.0029353271484375,0.0040093505859375,0.0015145751953124999
1711220195.5841033,11,60,0.1334181884765625,0.030476953124999998,0.00338115234375,0.0030256347656249997,0.0080004638671875,0.00272109375,0.004194580078125,0.0014715087890624999
1711220196.548385,13,40,0.0157458251953125,0.0096890625,0.0010966552734375,0.00043857421875,0.000590625,0.0014565673828125,0.0008009033203125,0.00078046875
1711220197.5718222,11,30,0.219110888671875,0.030859057617187498,0.006324829101562499,0.0042486328125,0.002394140625,0.0039509033203125,0.0009375732421875,0.0007305908203124999
1711220198.559968,16,20,0.1628876953125,0.0301194580078125,0.0028239257812499997,0.00348486328125,0.001263427734375,0.003523095703125,0.0038935546875,0.005236083984375
1711220199.557633,17,14,0.02107353515625,0.026829052734375,0.0008474853515625,0.00272373046875,0.0056195068359375,0.0028048095703125,0.0024167724609374997,0.00443056640625
1711220200.5750587,43,24,0.0012168457031249999,0.0009536132812499999,0.0001294189453125,0.001641796875,0.00087099609375,0.00475048828125,0.0012065185546874999,0.00101337890625
1711220201.5637498,34,20,0.05916357421875,0.085712255859375,0.011086083984375,0.0037056884765625,0.0038480712890625,0.00359296875,0.0028012939453125,0.002861279296875
1711220202.5363288,24,24,0.025779638671875,0.05670087890625,0.0103304443359375,0.0065586181640625,0.0036472412109375,0.0031220947265625,0.0068581054687499995,0.0014354736328125
1711220203.563424,21,29,0.231622998046875,0.0351353759765625,0.001290234375,0.005167529296875,0.002327783203125,0.0026835205078125,0.0011671875,0.0008927490234375
