,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711228037.7293735,30,47,3612,15950,8627,4519,3302,3026,523,1312
1711228038.7102828,17,61,76608,22829,26730,16485,11375,5481,4560,5466
1711228039.713138,17,66,132527,49390,25781,18104,32763,14096,5908,4081
1711228040.7316768,24,69,71012,28869,5343,10094,7077,9647,2875,2482
1711228041.727848,29,84,116261,7708,79827,14254,7337,13977,3239,2497
1711228042.7170365,41,81,68240,8973,10099,25188,19743,5847,8688,9161
1711228043.7200832,30,80,113524,42839,21104,10839,23993,7086,5797,5209
1711228044.712739,14,70,72537,50058,3520,6049,4937,4798,985,948
1711228045.711111,37,50,3988,2666,1520,1677,3238,2916,600,1058
1711228046.723127,47,41,8948,15738,9006,6337,7045,7914,2159,3371
1711228047.7178574,80,38,8636,7391,4492,1183,2557,10846,3417,4592
1711228048.720594,90,43,12793,31764,5233,6098,5469,7518,8154,3982
1711228049.726197,75,51,8384,9180,10625,4375,4187,5270,4548,4031
1711228050.7279854,81,48,3563,11741,3428,10054,11455,12378,2838,4694
1711228051.7297275,57,50,51931,12268,4224,2311,2556,3807,1254,684
1711228052.7123535,69,53,4252,12522,6466,3143,8282,7716,4619,5138
1711228054.7285516,41,35,134138,117625,8982,3944,3151,1580,1778,1270
1711228055.746759,47,43,84903,26598,40191,20680,44044,11899,28324,12829
1711228056.7349732,40,50,90362,6683,5981,2023,4638,1694,1246,1806
1711228058.710849,64,78,142646,28899,35620,31593,24997,20988,24086,31561
1711228060.708576,75,69,92884,10046,10073,3834,2695,4364,2882,2428
1711228062.7242627,60,44,641484,47112,2510,11375,4168,4021,3535,3877
1711228063.7272365,61,48,11960,32989,9594,18635,16351,13975,5423,4606
1711228064.7242432,60,51,9885,31922,23889,25860,6633,13718,8884,4864
1711228065.7272673,61,60,98479,55822,12726,30456,6191,11352,4112,6291
1711228066.707435,83,66,1499198,18769,11732,11181,4869,24701,5104,6617
1711228067.7012875,93,63,13471,10242,12032,934,21423,13386,10090,2067
1711228069.709454,96,50,120583,10542,2200,1122,1371,2126,1472,1182
1711228071.7081604,67,64,434267,22240,11074,13505,7192,5121,1102,1406
1711228073.7325072,63,43,60692,101581,1610,6959,3698,4091,3567,1725
1711228074.7355952,54,27,363743,69318,14019,4188,2008,6804,6797,2347
1711228075.7222133,60,27,99770,32184,13440,27865,13907,14185,12647,6414
1711228076.7096798,53,35,33178,53842,14935,18314,8824,18540,10125,7137
1711228077.7301948,81,51,7603,7057,6683,5674,10211,13717,11491,7636
1711228078.7332706,100,53,3117,10988,2463,12152,22573,19715,6707,11152
1711228079.7290382,100,37,8519,12157,2391,2757,7525,19750,12389,5502
1711228080.724978,100,37,686662,68470,21313,31963,12161,26313,5787,9197
1711228081.7137284,94,27,325418,41057,4496,3626,4639,4800,888,1315
1711228082.709218,78,40,53404,21683,23533,12476,10016,11307,5407,6286
1711228083.711454,66,54,2274,15618,8304,15771,10085,12134,5271,6621
1711228084.7215745,63,51,64262,41020,17920,3532,5096,9941,14885,7207
1711228085.7126427,69,75,5782,12901,15685,28247,5396,12158,5908,2873
1711228086.7304137,63,74,56817,38718,27701,13271,8400,7468,6658,2695
1711228087.7018037,74,67,8673,3645,4204,5505,12235,10932,4571,4164
1711228088.7298796,87,69,11249,2753,647,6368,4803,7038,3576,5373
1711228089.734049,93,63,5623,6761,14933,3587,9413,9330,7778,4723
1711228090.7218986,100,54,4256,10925,7460,4608,11207,13231,5258,1721
1711228091.7092743,97,69,1226,3601,26584,23770,14059,14131,1818,7401
1711228092.7119973,94,69,5880,7074,2411,9575,10775,10744,5939,5122
1711228093.7383866,83,75,45262,8118,13887,1256,1431,2130,860,1024
1711228094.7188056,70,83,53351,31664,25204,12649,10566,11070,7253,2513
1711228095.7133188,69,75,458064,71635,57673,10415,10721,31680,8354,2678
1711228096.7088509,50,74,85413,105205,40335,4953,2278,8856,3062,1105
1711228097.721923,44,48,1737501,316177,24364,18631,17105,19302,6741,4980
1711228098.7254748,54,44,12610,5872,7299,3270,6519,8843,8233,3627
1711228099.7290332,63,40,3544,14647,12121,2422,6364,14682,6090,8420
1711228100.7264907,81,50,2080,4349,10691,14087,7277,13706,7490,8765
1711228101.7122786,90,64,8577,8109,3486,2506,1645,2014,2388,1647
1711228102.7108266,70,63,102117,11173,3957,3959,5113,1291,2086,1308
1711228104.7341912,60,47,220504,25019,8795,4864,4056,6194,1047,1809
1711228105.7255073,48,38,107990,44452,8310,4552,3408,2425,1494,1043
1711228106.728389,44,38,143363,75335,20810,17678,16261,5112,8994,16417
1711228107.7214684,38,44,791997,147134,35737,69040,75608,49227,66454,37712
1711228108.7232218,26,47,195595,10557,4647,1807,1651,836,980,288
1711228109.7094254,21,50,35910,18949,3020,4178,2537,612,806,550
1711228111.7291076,53,44,47090,11468,5365,11922,6217,13673,1972,4584
1711228112.6960104,66,51,2913,4350,980,8065,2383,2330,505,756
1711228114.711013,74,70,54168,21889,36494,22696,40880,9135,6278,6372
1711228115.7146304,61,78,321047,54294,39961,46591,18391,15698,31266,6346
1711228116.7296178,64,64,43224,6081,951,2854,4622,2487,1711,796
1711228117.7314909,69,69,22382,8900,8782,6482,2590,12547,4544,9611
1711228118.7345436,87,63,27057,4712,5108,5997,7538,11701,8921,7706
1711228119.6969826,94,54,8321,8896,7042,2536,9767,5209,3786,3667
1711228120.717147,100,51,31244,17433,3905,3810,6267,12660,3258,3466
1711228121.7305932,97,50,22663,5370,9250,10268,15172,11081,6250,4533
1711228122.7084332,83,48,9272,9492,1845,5305,4978,2327,1046,1861
1711228124.7172565,67,56,22042,47829,5619,16009,7871,14868,6103,4888
1711228125.7186415,61,40,220793,171755,15979,21179,83667,43888,18449,20601
1711228126.7154465,51,30,877579,83026,5692,11243,5077,4979,1239,637
1711228127.7183268,50,29,129256,41426,22925,4389,4664,6988,1363,1358
1711228128.7122376,50,30,92331,21552,3558,7501,1267,6610,1451,883
1711228129.716323,41,53,3919,8201,2211,7444,1045,1728,1041,944
1711228130.7132955,51,54,32559,12940,1885,3004,4357,2482,565,1595
1711228131.7163975,57,57,16099,5868,3396,6953,7003,3479,4335,6117
1711228132.7273288,69,57,9534,4281,4829,4482,15131,7798,3016,4971
1711228133.7396173,78,53,18832,15144,15166,8049,12281,10188,4564,2071
1711228135.7302737,90,56,2816,40674,22275,20865,16883,12806,3760,2925
1711228136.7349825,70,74,131203,8315,10364,14588,3220,2876,1396,1549
1711228137.7131724,66,54,108463,88402,9063,4143,26230,14057,5737,1310
1711228138.7247517,43,56,1143065,136856,45718,55949,36629,14365,17054,26334
