,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711230448.1728253,53,30,34516,12502,1898,6910,20354,17928,10866,40438
1711230449.135957,69,27,18358,4064,1269,7759,8007,16249,7416,7503
1711230451.1519825,93,23,5220,8376,5505,5251,11127,6058,9602,7227
1711230452.1705906,74,30,44092,7984,1888,2509,2327,910,873,1870
1711230453.1579015,48,37,20615,18224,11770,2514,1376,2061,3210,892
1711230454.1675828,48,37,609335,858922,134385,78827,97236,35028,13494,11019
1711230455.172547,48,37,1545880,561898,37144,151626,161458,138769,83564,22439
1711230456.1607895,24,35,282206,140559,47488,8562,48473,25580,28180,17203
1711230457.1633801,8,40,112483,3850,1421,3802,3638,343,1555,968
1711230458.1682084,20,43,257684,8994,2310,9643,3003,6469,2987,2727
1711230459.1639297,34,40,32228,13416,6520,6987,4626,8843,3050,3482
1711230460.1513734,38,48,96090,6134,3888,5545,6136,3626,5190,3484
1711230461.1718104,44,37,132115,52093,1486,8207,2911,5403,7382,3730
1711230462.1504252,51,34,93386,20782,7294,18075,13245,29218,13118,13921
1711230464.1491637,44,21,47335,16460,7124,14319,18648,9615,12694,8235
1711230465.1531913,50,24,66366,52816,668,19238,24411,11802,7213,7258
1711230466.1647537,30,37,200145,39635,58075,42700,23946,9720,9577,10405
1711230467.160568,27,41,58584,15403,3919,3175,4375,2248,4379,2146
1711230468.1733415,38,35,7980,11925,3116,9026,17430,16029,10642,10600
1711230469.1764774,47,44,10691,5782,14009,12397,12674,13671,10436,9879
1711230470.1701684,63,34,37466,11435,3984,5797,6406,10183,11009,11375
1711230471.181824,77,37,6129,3012,2016,9141,12492,7064,5029,4935
1711230473.1501431,74,40,10795,7123,8094,3765,7134,14376,12317,13475
1711230474.1702144,70,47,13874,8049,8037,8992,7062,9996,8469,5432
1711230475.1728501,63,43,32346,29729,11858,9879,20059,10080,6656,1940
1711230476.162095,60,40,352452,51750,22668,9243,7668,14940,5999,6377
1711230477.1573114,50,38,11955,14382,4734,12199,27376,7701,7309,4786
1711230478.1626525,50,29,4747,27482,7120,12770,17366,17240,10171,4628
1711230479.1541948,57,27,73927,16933,5986,3416,4320,12568,3531,3744
1711230480.1498215,57,26,8282,7049,1741,2820,3877,2079,1900,2699
1711230481.1466541,57,24,7441,19871,2537,7179,6696,7151,3231,7254
1711230483.1695743,60,38,7191,2896,5555,8766,9210,9037,11404,9173
1711230484.1492393,64,23,15397,10059,675,1276,17671,4438,5778,11149
1711230485.145563,77,21,4478,5397,3927,3092,13309,10634,4188,3070
1711230486.1573887,78,26,3378,2628,6614,10200,9359,11117,5099,4579
1711230487.1611478,81,14,51674,7161,3852,893,10566,7823,6544,4416
1711230488.147817,80,27,14840,17437,1675,7165,10325,8011,10082,4111
1711230490.146626,66,30,5106,19682,5939,4568,6985,10423,5490,8334
1711230491.1662343,50,24,13307,41663,2505,2816,5378,4156,3085,5935
1711230492.162059,50,34,2536,13482,4210,13039,4848,10363,5389,6577
1711230493.1663854,54,20,10775,17637,4817,10536,33596,16702,6848,2118
1711230494.1619391,51,24,18769,9051,7300,2825,6784,4278,7517,9825
1711230495.164529,60,40,7503,21084,16193,2768,4984,10981,4330,2086
1711230496.1614656,66,34,40165,3104,2017,3474,6872,6394,10352,3493
1711230497.1548014,66,38,35140,15032,3114,12332,17101,14076,17336,7532
1711230498.1478093,60,27,60180,50696,5388,4934,7464,7210,3107,4952
1711230499.1539783,63,29,75668,10563,8528,11191,8070,11271,11759,3488
1711230500.1500783,47,26,424745,117588,16615,19981,36646,16021,7900,5940
1711230501.1476204,35,29,1064634,263354,131707,18282,37732,52308,31890,20149
1711230503.145944,26,21,239689,26630,2460,20513,22210,11636,7781,22570
1711230504.1577754,37,17,15005,7549,1013,544,2286,2988,3500,3462
1711230505.167302,43,24,7067,10108,12494,15520,6406,10360,10217,9275
1711230506.1484568,63,38,15581,6121,11166,3229,4760,15108,3640,7179
1711230508.14926,51,47,19223,12833,5640,7192,3733,4693,1175,1411
1711230509.1514323,37,30,368621,91643,9917,7053,10332,4796,7823,9537
1711230510.1627486,37,26,173704,12782,7063,7964,11128,17610,26800,15156
1711230511.1515002,48,27,10987,9067,3126,3392,6659,8112,13331,15397
1711230512.1628246,41,14,71760,30649,2452,2122,1830,3296,1313,3969
1711230513.1510274,53,23,19833,8737,3442,3366,3752,2746,721,1560
1711230514.1855757,38,16,966664,104514,10377,8503,11939,14560,13159,18160
1711230516.15237,47,10,41524,35891,271,2685,12431,14486,6312,6989
1711230517.1490443,53,10,43085,60153,17212,28102,29214,31511,12796,17530
1711230518.152069,40,17,1309672,170227,35797,40147,35013,6736,14605,8712
1711230519.156519,29,16,1500785,71536,10953,5515,9909,7204,5813,5628
1711230520.1505635,24,35,21722,14218,484,7470,3611,4343,3326,3696
