,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711931742.7745109,48,38,24221,10534,13492,4852,10048,5447,4552,2888
1711931743.8262007,53,20,101962,36764,13748,7837,9540,8409,11719,9253
1711931744.7841709,63,1,6928,23615,5920,4789,12384,6891,6632,3445
1711931745.7736695,53,1,1985,10970,8542,9525,27467,2425,1198,4870
1711931746.7929022,35,1,83030,26915,1957,1782,6929,2520,1951,896
1711931747.7821348,34,11,16675,23753,7567,20002,4465,6733,7627,5632
1711931748.7741249,38,43,11749,10717,19400,8517,13864,9916,7723,10759
1711931750.7871692,100,50,51705,18216,166,1928,7482,7759,6670,5673
1711931751.777432,100,44,6039,12498,10118,3702,11439,4977,12433,3198
1711931752.7665868,84,44,17798,18483,22353,5019,13592,5298,10428,4422
1711931753.788172,64,40,81910,36769,7442,5444,12529,8191,3577,5708
1711931754.7786014,44,64,454601,72170,10508,29109,12802,18369,7090,5590
1711931755.799198,30,75,2553,20433,26909,11356,13300,5697,9217,13422
1711931756.7886996,53,74,75636,27631,16702,14302,7506,19668,7003,5377
1711931757.8080359,60,87,35489,22310,1352,23828,9607,10652,10552,5100
1711931758.7681484,50,91,44995,53176,27960,10066,6968,9316,16334,5605
1711931759.8201275,53,69,1778103,86004,16174,7198,21129,12790,8310,2625
1711931760.7791538,21,61,59001,23534,7566,3942,9675,2236,1943,2381
1711931761.7691317,23,61,8292,6806,18449,5702,22962,7843,7035,1931
1711931762.7905467,34,57,15744,10905,3315,4000,3123,3081,1797,1048
1711931763.780447,43,81,16872,16505,35689,4685,5599,10359,7081,2526
1711931764.770666,63,100,3232,10450,25612,18719,10851,8854,8879,5196
1711931765.7921505,60,93,22495,10006,3406,1479,1595,3156,545,1355
1711931766.782663,44,100,337903,45622,44203,32127,19211,10982,7396,6787
1711931767.7721617,21,100,11684,20395,17480,63917,12068,5973,13038,6721
1711931768.7924523,3,97,24628,22906,14568,25414,14277,4136,5064,3410
1711931769.7801964,1,100,35265,22792,12552,4381,10133,7256,10544,6229
1711931770.8007052,14,94,36735,24756,12101,35770,15534,11965,4751,9109
1711931771.7911496,44,84,95638,29062,32113,18986,8643,21740,11274,12197
1711931772.7804031,47,75,410371,119935,13096,46629,19700,12746,9554,10915
1711931773.76843,23,75,405710,59232,11753,19672,2554,5262,4633,5013
1711931774.788492,37,64,774944,59494,9937,30943,8239,31572,12872,18138
1711931775.8098125,26,53,320597,82366,25384,12137,5343,19122,13759,6561
1711931777.787426,48,51,263190,42633,4134,19119,7392,4783,7840,4841
1711931778.7759347,24,63,767234,12344,17751,2407,4326,3232,3986,4571
1711931779.7961504,44,63,9067,6898,10008,2785,15452,13688,8627,4302
1711931780.7868595,44,69,16928,20018,11969,12698,12426,9554,10254,6200
1711931781.7766042,51,81,75656,9498,13286,6626,4019,3285,2609,1803
1711931782.7658455,41,63,73416,61451,9392,5090,4304,4323,2621,2207
1711931783.7853868,20,74,19860,9351,6694,10251,5631,4166,3269,4021
1711931784.7744489,1,54,3233393,524689,48653,33129,61384,16539,8267,11817
1711931785.7959018,1,43,240897,8314,3051,1240,1772,1321,1297,515
1711931786.7854059,34,54,52425,15929,10529,17423,18818,13014,11513,7038
1711931787.7741742,56,44,14495,8687,12008,7926,20097,21657,15235,11370
1711931788.7940516,70,40,64974,20512,1250,1078,3637,2537,1495,2418
1711931789.8156466,78,43,20817,19587,13774,2561,6394,6153,6024,3437
1711931790.7759213,66,44,94215,34939,16481,23409,13424,10395,8018,7595
1711931791.7981653,56,57,6099,2243,8095,13330,7256,7888,7431,5853
1711931792.786584,64,84,8828,25699,36879,11539,13459,15433,12024,2585
1711931793.7769675,41,88,147603,30540,16433,6816,5310,1584,1480,1173
1711931794.7977152,38,91,112204,6466,6773,2476,4077,1569,1500,1407
1711931795.7853885,11,77,942319,110244,31782,19403,9441,7097,8763,9113
1711931796.80445,1,77,93658,14628,15787,2461,3203,3386,3181,1171
1711931797.7946484,8,81,75370,9151,7899,2869,1254,1020,424,379
1711931798.8146794,10,84,232304,46379,65019,21986,21980,15044,10111,6473
1711931799.7723756,27,94,49709,35006,47222,14185,10921,18359,6837,5902
1711931800.7916749,44,84,3541,14620,1179,12769,8449,10115,8247,4185
1711931801.7795825,43,94,138622,7871,17191,6815,2669,1647,2151,2128
1711931802.768649,69,84,9376,5659,7922,6744,7052,18932,6365,3593
1711931803.7876558,70,83,22261,5855,5423,12207,10931,5936,8908,2854
1711931804.7761486,63,97,51520,17597,36672,41772,23529,18952,26744,12424
1711931806.7864196,75,81,15036,3168,4318,14056,18850,10498,7907,6166
1711931807.8058734,64,69,167448,27595,3917,8432,7764,3696,1808,2133
1711931809.7858365,38,69,169968,26026,33417,3118,3996,999,606,577
1711931810.7744339,27,77,19108,23987,32468,2393,10716,9901,5529,1921
1711931811.7954822,34,93,6274,14470,34587,3972,9538,6033,7165,4013
1711931812.7826464,35,97,5521,16146,8949,18160,9198,9002,7568,2634
1711931813.8051815,47,100,10602,5717,19933,26568,2928,2312,4703,1384
1711931815.7846234,43,97,7171,9938,17030,8263,7837,2620,2048,2210
1711931816.774849,34,96,12961,17662,30935,4076,10136,3874,1898,1449
1711931817.765109,38,83,6463,5039,11721,7748,9679,1868,1946,1837
1711931819.7766516,38,80,5949,5447,17803,7041,12973,4970,2784,3095
1711931820.766161,47,74,3006,21659,4625,11887,7744,6590,2064,3081
1711931821.7886636,47,69,10587,42017,30845,8280,2479,6288,1874,2088
1711931822.7785563,37,50,56513,32810,4290,2281,2236,1462,406,441
1711931823.7820532,30,35,9426,25899,1691,8356,15053,3294,2476,2415
1711931824.7711496,37,43,8069,4275,12670,9286,6479,7672,3014,2224
