,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711223075.7193155,35,53,387531,7585,18171,2424,2032,1097,1132,517
1711223076.7097495,29,38,60904,458343,90681,45356,16962,20099,19712,13551
1711223077.7197566,27,30,339844,75308,21062,21325,8109,6262,1428,3339
1711223078.7234476,30,21,1173193,73778,10108,28639,13206,8552,4362,4151
1711223079.7028239,40,1,179392,37121,22835,3432,10777,7002,1802,3259
1711223080.7001116,54,11,265897,64975,294,54856,3344,23377,2919,2540
1711223081.7032907,48,8,1011404,354362,107664,44914,25198,12926,7728,5967
1711223082.731465,38,1,803038,143335,22688,3175,5705,3947,1861,2953
1711223083.7086034,30,3,813073,40965,11222,16559,13607,3781,1742,1807
1711223084.7293909,27,7,1258545,80055,75272,18107,40556,24110,20164,14595
1711223085.7175665,30,4,1916572,662374,56679,149807,56343,30422,61186,9308
1711223086.7055414,40,4,925640,97089,6801,11511,15254,7514,5134,6219
1711223087.7242508,37,1,26070,141900,2950,9853,4470,6208,2156,1536
1711223088.705628,35,1,580797,294145,37109,22259,40500,32329,7610,4622
1711223089.7308402,50,1,660060,85650,11050,11291,55036,22994,11968,6698
1711223090.719381,43,1,96632,71690,13562,5660,5075,3001,1944,886
1711223091.7051058,38,1,137209,70133,6616,10908,1982,1836,1401,1671
1711223092.7094424,38,16,17138,11797,7341,5143,5870,1891,2395,746
1711223093.7280414,16,20,487489,66404,4447,6876,2770,1336,498,307
1711223095.705354,29,30,735109,82128,15354,27742,18973,10169,10790,6226
1711223096.7005022,35,17,313119,23759,5965,941,7119,4215,419,1142
1711223097.7280328,40,13,143163,86426,8697,2421,13014,3018,1888,2511
1711223098.7238505,40,11,199818,73592,20063,15834,5293,5443,1639,1551
1711223099.728204,44,14,8464,18329,7041,5476,6093,3676,1339,630
1711223100.70678,35,13,165133,12590,1414,852,580,795,242,199
1711223101.7276263,41,10,97429,16697,964,738,2782,1154,255,206
1711223102.730574,44,4,287196,123652,24226,17988,27064,10672,8313,2882
1711223103.7165773,44,4,1224073,226152,41821,77947,30666,21826,3790,2700
1711223104.7224064,44,4,480722,40490,10968,29204,59924,61726,5270,3741
1711223105.7184472,44,4,277916,16195,14092,6208,6903,11703,5972,2289
1711223106.713266,43,1,183638,71827,13893,8384,35485,9587,7848,2789
1711223107.7173824,44,3,111384,49788,13779,12933,12730,5087,2585,1452
1711223108.727995,60,11,383176,8849,1279,2012,5276,4273,2403,814
1711223109.711207,64,8,136141,17627,1056,3783,6420,2340,3611,588
1711223110.7259493,66,17,285108,37175,18554,10808,17819,8152,6160,5923
1711223111.7230132,75,1,984658,57236,2226,2561,5730,10596,3413,3233
1711223112.7190652,57,14,2361609,554249,162287,133005,22231,50093,20157,11827
1711223113.7105827,54,13,896599,96762,2803,15140,17346,9805,823,4340
1711223114.7098935,53,17,41921,20489,15615,4706,3886,3566,2166,1307
1711223115.7036002,51,37,179706,30143,11680,4035,4798,6610,2421,4440
1711223117.7050633,75,48,1015144,24570,15515,21373,16248,19089,6033,9720
1711223119.7186544,51,24,100402,28143,1776,2807,1588,1194,1001,606
1711223120.7090561,27,26,524531,24470,6193,3853,2956,762,665,374
1711223121.7112849,8,7,112414,35598,2993,962,2195,1149,320,123
1711223122.722187,17,17,33193,9009,4736,2065,1191,1005,451,278
1711223123.7008615,20,34,31380,35767,18320,6959,3419,2356,1882,2296
1711223125.7252796,40,44,111515,28231,4297,3070,6495,3404,841,623
1711223126.7138627,48,38,154812,15672,3963,4305,5741,3383,905,1493
1711223127.7303464,43,34,412688,300786,94261,36034,22572,11288,6183,6522
1711223128.7263277,38,26,186153,124107,28066,10620,12763,5727,5159,8945
1711223129.7154741,35,40,61620,35631,22156,18680,11302,4761,11104,1494
1711223130.7105749,35,37,11577,20768,1577,4909,1201,3955,1228,1397
1711223131.7124732,47,43,6674,7545,866,6796,1550,1472,1371,1481
1711223132.7263956,64,43,28520,35661,12631,4383,12200,17131,6525,3465
1711223133.7216175,64,43,35351,50814,17338,34173,3879,5509,6533,6449
1711223134.7104511,57,53,130967,68148,7948,42073,12680,7885,6079,4358
1711223135.719612,47,40,65562,50211,2824,8081,5545,1470,1379,1822
1711223136.706762,30,27,106247,24488,1449,1119,3128,1900,748,509
1711223137.728752,40,23,68578,16703,5544,7556,5426,4215,1393,989
1711223138.706777,44,17,45230,43639,16003,4890,4536,7669,3424,3397
1711223139.7189898,53,38,74612,4705,3860,3373,681,746,742,423
1711223140.722427,44,63,198599,29531,6130,32225,7960,1952,1135,1200
1711223142.7074358,37,27,367389,229605,15038,13939,71928,18787,10215,8615
1711223143.7134812,24,16,350822,79088,13272,18164,1449,1670,1175,888
1711223144.7125769,38,16,20581,3583,5382,6577,5007,2184,1906,2501
1711223145.7406325,40,23,132911,60233,7285,4690,18822,7664,4584,1834
1711223146.7192616,43,34,1087800,101276,19115,16684,13538,14706,7344,7378
1711223147.7083023,54,26,38019,8176,1351,483,1030,630,266,741
1711223148.710584,41,17,890794,104859,22276,34145,6347,4560,3610,4523
1711223149.7077594,29,21,251436,326310,21637,43580,20537,9553,11876,9584
1711223150.7040257,34,30,66222,6095,3407,4344,2598,2085,1401,928
1711223152.7262976,48,37,115760,7498,3800,5041,4052,6092,2355,1499
1711223153.7198198,69,35,209332,10690,1309,4414,14962,6153,1801,1690
1711223154.7083087,64,24,48191,92366,11464,29032,22376,13558,5007,3132
1711223155.7051442,78,30,145732,27898,16513,2367,4921,5776,2009,1346
1711223157.70606,38,29,316051,181058,117277,43390,27312,8127,17872,6680
1711223158.7016535,30,23,922737,369370,31642,40675,30679,18793,5485,4449
1711223159.7035847,30,35,50086,34757,83996,21242,9280,17993,7244,4610
1711223160.7277591,26,43,368976,92186,16984,2603,5547,2889,1945,1843
1711223162.71385,35,41,91676,31278,4634,4545,2663,4368,1982,765
1711223163.7128108,37,14,437166,25918,631,3882,5534,4250,1706,1147
1711223164.714307,37,30,307851,63207,65584,15241,12029,3983,2064,1171
1711223165.7228637,48,29,393699,30663,7631,6211,5963,3624,1729,997
1711223166.7001958,41,27,90706,49997,10587,3295,9794,3645,1146,1385
1711223167.7085688,34,41,102961,31683,2196,16028,4988,3039,4236,2748
1711223168.7059035,35,30,106406,18690,2412,5285,1550,810,513,450
1711223169.7004304,48,40,26347,6752,6611,7421,3052,8225,1853,1213
1711223170.728393,50,47,613748,159162,55518,21107,18586,16325,4774,5636
1711223171.7138553,50,50,86900,39771,13006,18651,10215,4163,1819,1079
1711223172.725134,63,50,4699,8858,2845,4410,7510,2112,727,317
