,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1712074555.9764907,30,51,126668,91212,125759,17083,3847,6628,1830,2406
1712074556.9632583,54,51,3246,7138,2397,3759,3547,10874,5327,3251
1712074557.981173,56,60,9884,5208,6707,6050,7942,1489,3290,5299
1712074558.997491,67,67,5064,9295,9665,8086,4309,6851,2433,2875
1712074559.9550383,83,63,14862,28131,22852,11556,14404,9706,3824,1158
1712074560.9756021,53,57,262450,65498,5717,8090,5241,2535,665,711
1712074561.9652753,41,51,770531,561494,132888,106263,37230,22152,4459,1425
1712074562.9843547,41,48,1546084,29238,5856,21492,8103,13461,3435,1231
1712074563.9734263,37,41,127600,13425,5967,1330,8272,1666,1016,1401
1712074564.9624968,51,43,1396396,92178,31729,3302,19113,22238,5536,17766
1712074565.9836934,57,44,1210741,129035,27929,44727,6698,11169,8532,10489
1712074566.971881,61,50,25513,2936,8934,1268,2622,4552,1943,951
1712074567.9603717,61,43,236425,233077,23852,10324,29743,23778,8451,9582
1712074568.981372,74,47,9080,4913,7760,6698,22258,10844,5282,10803
1712074569.9708526,66,44,990688,169282,47090,38610,9846,7230,10223,5995
1712074570.9893498,64,44,33966,21277,36533,27335,30394,24754,9520,6779
1712074571.9790187,70,56,475425,61405,9347,42824,15282,16438,4584,3859
1712074572.9689698,57,61,1083686,79173,33391,32583,7089,16727,9385,8079
1712074573.9900692,69,57,67700,91245,18547,10385,6671,12955,7904,3876
1712074574.9798281,53,57,26241,56807,30997,32914,16279,5884,8777,6042
1712074576.001237,48,67,6421,10390,29922,15651,10373,4701,6598,3862
1712074577.9801924,17,54,77750,39371,13729,5898,3997,1601,1658,2093
1712074578.9720178,27,50,27833,34473,19507,5949,18745,8207,11980,6777
1712074579.964518,27,48,11051,13993,26493,12036,7514,4028,8928,7575
1712074580.9555159,34,56,550648,62034,2040,20580,12681,3169,4083,1455
1712074581.9790184,44,56,732066,40041,3717,17650,1842,5569,3829,6129
1712074582.9715219,29,40,404098,101472,1102,4561,2340,3087,2609,1439
1712074583.9630175,30,26,83841,12114,5783,1233,6035,1836,2556,2178
1712074584.9860184,43,26,1871406,157312,23284,39785,31664,31446,40716,46227
1712074585.977516,43,21,213240,11439,2905,550,1292,1286,494,795
1712074586.969516,56,30,307763,36594,4034,3552,5951,4883,9140,1213
1712074587.9615166,47,23,107417,145292,9975,14270,9270,5719,3568,4473
1712074589.0155158,29,16,145260,84103,10442,1138,1231,2289,2112,1724
1712074589.9770203,21,17,56645,51680,8176,8952,4028,2799,1038,1999
1712074591.9610198,20,44,284320,131136,39740,37493,11575,8064,7177,8001
1712074592.9828632,34,50,941342,42232,2583,12842,10198,5567,5943,4323
1712074593.973186,35,57,714758,79919,65281,4509,9734,6911,5811,7442
1712074594.9630218,35,50,58261,61470,16034,8521,4695,7056,12198,13126
1712074596.9773371,37,54,1109,17370,6849,4537,3274,3331,4340,5957
1712074598.0003366,56,38,38790,22111,1895,4173,21899,12062,8559,8073
1712074598.9613369,60,43,88994,51482,20717,16605,10702,9720,5503,5418
1712074599.9838364,64,30,198457,76824,10362,3960,3775,6191,2668,4938
1712074600.9758368,56,24,449028,61303,5872,10032,1815,3496,2112,3369
1712074601.9683373,48,30,269009,62935,22551,1545,23381,14865,3074,4658
1712074602.9913373,44,34,28495,22571,12177,14374,11496,3330,3330,2413
1712074603.9828408,47,43,643600,19300,7386,6705,6100,3118,5598,2438
1712074604.974837,44,43,10267,31969,2607,6081,7211,1449,887,1509
1712074605.9983382,50,50,33556,13514,2088,10787,4219,6883,8284,4626
1712074606.958838,38,51,245388,72454,27792,32083,4487,2978,6977,6955
1712074607.9818373,37,51,80332,84481,21659,39772,13524,11283,6012,6672
1712074608.9743378,41,63,3607,27788,16614,14790,7822,3386,2956,4030
1712074609.9658363,29,64,125261,34382,20272,5516,5643,5543,4298,7438
1712074610.9578364,44,64,79403,6243,3496,4700,2956,1619,1011,677
1712074611.9813373,48,81,1735,1949,31703,5066,2364,4487,1824,1954
1712074612.972485,51,87,3056,4756,4554,20243,11205,2130,1857,1067
1712074613.9599864,48,100,4778,4707,26203,8369,7059,2317,2001,1597
1712074614.9787493,48,100,1129,2559,11307,5788,3226,2113,1828,1380
1712074615.9663663,47,94,211452,27209,22401,9687,3933,5161,6193,2229
1712074616.9861343,61,84,15397,18428,8528,11835,12730,14876,11824,8265
1712074617.9732523,74,70,5369,12033,6436,6776,4524,6054,2923,3026
1712074618.9952068,67,67,3372,11046,15123,13194,4297,2605,1860,3279
1712074619.9549906,57,57,38698,23193,3177,4945,3699,944,1470,2087
1712074622.9604907,40,44,191666,65631,15548,25918,14840,10274,11108,7197
1712074624.9749897,69,61,4619,12349,30157,3540,4088,3559,3744,2984
1712074625.9664903,69,66,2552,2358,13456,1522,12324,3223,2417,2894
1712074626.9589217,69,74,6222,16218,24484,10641,17972,4887,5072,3964
1712074627.98142,60,70,8831,20597,3872,7437,6578,5750,2054,3609
1712074628.9734194,67,63,31341,13322,10769,5435,5968,5441,4954,5760
1712074629.996918,70,63,13523,19292,40997,11866,16269,16465,8200,5668
1712074630.9574206,69,51,325323,66298,14752,4472,22867,6436,4502,5033
1712074632.97242,66,51,5096,14351,4568,8020,2861,9703,3452,4649
1712074633.9954185,63,53,10657,16873,4212,31877,5713,9184,6651,6831
1712074634.9874187,64,54,39345,15600,2922,2351,4198,1793,1411,822
1712074635.9794195,75,60,56527,10858,12258,8417,5893,6101,4305,3108
1712074636.9714186,64,66,9452,14320,4502,21876,6530,5324,3108,6141
1712074637.963419,60,63,121191,41086,33955,6965,4172,7620,8843,7476
1712074638.9554203,67,60,236821,118190,5883,24973,51989,34504,11398,6705
1712074639.9784212,50,50,420247,328672,60584,33400,17429,9437,8161,11780
1712074640.970422,30,41,437648,177734,52899,13418,7281,4550,2129,2864
1712074642.9544194,17,47,20792,23428,32308,23105,13939,12302,12664,8752
1712074643.9774187,24,51,246612,136723,47268,23667,12981,8351,8170,4186
1712074644.9694214,38,56,60126,50792,49328,9852,18121,8331,10727,8789
1712074645.9614198,54,69,24046,6631,10270,8027,6018,5056,3467,5078
1712074646.9844193,51,53,66279,45710,1834,7705,5132,7134,4540,3505
1712074647.9764183,60,57,10340,17207,13333,9273,6009,3854,3017,6775
1712074648.9994187,57,50,44160,37021,11621,2434,8799,3379,5636,2050
1712074649.9604206,57,48,11685,9912,14968,1894,8042,6107,3715,2460
1712074650.98342,67,63,2639,1450,5220,5917,6269,4490,1769,1057
1712074653.9749205,87,63,526387,30338,7486,26528,13115,13007,13767,7861
1712074654.9669216,84,54,76556,8425,2613,3713,4111,4921,1033,1565
