,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711225184.1284728,54,53,2046,55602,60018,39967,23699,13848,10719,3890
1711225185.135674,78,56,2193,31033,21089,5633,30372,9603,8078,2274
1711225186.1320174,100,63,5514,15352,4417,15743,9260,11776,6021,5413
1711225187.1355586,100,63,325962,243179,37979,25223,21485,21438,8558,5490
1711225188.1379266,100,60,22516,17862,28504,15424,7584,30951,5877,5865
1711225189.133729,100,61,1082941,13909,12479,9846,18179,16320,14753,4700
1711225190.1387913,94,66,1341,10911,19762,8629,11184,7660,7358,6544
1711225192.1457975,78,69,25159,6351,5388,2484,5843,2815,2862,1646
1711225193.1403239,80,66,9628,12474,4445,6884,8837,13796,3887,2314
1711225194.1433997,69,47,60219,44342,5540,1246,14150,4695,1067,1940
1711225195.1479657,78,56,6694,11727,11495,20409,7518,6348,5495,8242
1711225196.1276283,60,70,19748,7977,27370,66476,8591,5260,8960,4444
1711225197.1255167,29,67,602464,256511,37237,37066,50772,20157,20409,7581
1711225198.1347225,23,75,608893,132043,16904,16777,7005,9408,12675,4033
1711225199.1248813,34,56,123507,42700,3765,10647,8038,18204,11718,7273
1711225200.1432438,48,47,15514,4799,14492,2099,5241,3412,1639,2006
1711225201.1134086,53,51,262466,137450,24258,58150,28882,18848,5582,3348
1711225202.1336267,70,63,11272,7223,9536,6932,6214,5457,10467,3644
1711225203.1609342,66,75,1658305,40577,16432,47502,17528,21678,10363,5959
1711225204.1320045,77,61,4894,14499,4618,5908,9629,9345,19426,5046
1711225205.1290522,100,56,13381,14241,3654,19866,46687,23270,7601,8270
1711225206.1361916,88,40,172514,254932,16080,18853,32422,24068,6631,2643
1711225207.136352,69,35,148584,97371,28718,24648,5988,7666,5771,7193
1711225208.1387146,57,43,40120,8941,6051,3256,1696,2916,2519,1235
1711225209.1360302,27,63,9199,5688,30645,4801,3942,2373,2531,1318
1711225210.139402,37,78,137760,33492,28191,18402,17781,12921,10987,3627
1711225211.1483204,53,66,46657,45820,996,6689,10938,8835,1777,1179
1711225212.1248207,51,66,1089084,50802,49464,15706,28339,16921,15875,6550
1711225213.1405342,61,61,25376,5514,2951,11555,398,2375,1657,2556
1711225214.1369884,60,67,11464,2860,6725,5225,2406,2001,1494,926
1711225215.1254292,43,81,97582,31348,12215,10329,7008,2758,4455,2824
1711225217.1155596,16,51,1426753,368393,21883,48710,17211,10638,11755,11471
1711225218.1276567,10,38,85730,6287,1345,1216,826,720,567,543
1711225219.1368673,41,40,18133,3047,1771,6628,2928,9292,8137,5227
1711225220.1364079,37,51,427238,62901,65694,35210,41404,9264,5845,8626
1711225221.1455517,51,54,102594,28882,6927,5021,7186,3549,1281,1429
1711225222.1418803,51,61,808481,65473,31136,30906,16488,11953,7799,14279
1711225223.1338313,23,57,960192,114226,25608,37623,49509,14112,18628,6164
1711225224.1319647,30,51,20066,14248,1520,7247,8088,2749,1271,3286
1711225225.1362107,41,54,38577,22756,1594,17443,7230,9577,13230,8982
1711225226.148226,48,51,232947,43342,12439,16394,10542,12002,668,3011
1711225228.143997,43,35,1057070,390085,6100,46959,19111,21504,29210,16243
1711225230.1228106,44,30,155933,40721,18426,16363,9041,5099,2885,1714
1711225231.1419456,53,38,665750,61138,26135,14718,32813,28084,6958,10047
1711225232.137539,78,51,34712,37981,10801,39464,13904,34782,4531,6410
1711225234.1203864,54,50,205338,43725,23210,7274,7446,5038,1425,2243
1711225235.1417866,50,56,256789,11666,6516,7532,3235,4416,1821,1733
1711225236.1376696,24,56,129190,36883,17662,6751,4325,2612,1775,2045
1711225237.1230657,24,57,54380,101903,9626,26845,6228,12603,11761,7853
1711225238.1481638,26,56,436514,54716,21190,9563,6563,6636,5148,2890
1711225239.1229107,21,56,152628,79000,42119,40999,21006,17786,3297,13545
1711225240.150058,26,56,118104,32326,14370,8057,3455,3423,1389,1159
1711225241.140982,23,50,80239,85258,4955,9347,2844,7259,925,2829
1711225242.111229,16,44,44730,60102,5233,10171,4383,3029,2596,789
1711225243.1301377,1,53,164360,62272,81124,64326,6689,5490,11285,11274
1711225244.1486547,8,57,21251,19372,54146,14938,30577,12141,7143,4064
1711225245.1378486,1,61,712036,102956,21388,6990,9761,3859,1849,1475
1711225246.1416736,1,57,958285,217584,26567,10979,29713,15316,8720,12057
1711225248.1303926,1,30,750681,51966,19596,18468,2691,8106,5464,3208
1711225249.1181457,13,34,299970,69821,917,20212,5287,6657,5664,1633
1711225250.1384716,14,26,902970,117587,2278,7656,5085,9133,4720,3966
1711225251.127084,24,30,527390,267067,78194,14406,46740,30351,25072,8661
1711225252.123481,20,26,1301524,279034,94654,25514,49042,26407,48382,12389
1711225253.1441631,17,24,281502,113191,17795,13142,9010,9009,9523,5035
1711225254.150405,29,35,470600,188090,17770,37096,36023,50530,10358,20895
1711225255.1245785,37,34,636607,111286,23906,20070,48545,26056,22088,37343
1711225256.1270936,44,35,111333,16097,8696,2638,6164,3072,967,1895
1711225257.1470218,47,34,441129,65073,9752,4289,7810,6584,11604,5883
1711225258.1113334,47,41,182436,17441,19405,3924,14661,7930,10315,2560
1711225259.1294281,41,41,54273,55513,7005,8104,3947,6705,8131,4150
1711225261.1316133,64,47,15532,25595,8885,1953,6893,11246,10559,7831
1711225263.1386602,60,47,1633311,83719,20376,5469,7351,10529,19540,4809
1711225265.1267095,41,26,1286200,355703,26979,23918,32476,42756,68075,31344
1711225266.12383,30,34,852665,48531,68726,2388,12395,7393,6615,5195
1711225267.1352258,47,38,67967,18486,8767,7178,4037,13772,10392,5247
1711225269.1273289,56,48,189908,111928,19456,12988,6597,12203,17286,3449
1711225271.1575253,60,27,1064284,250611,25462,50107,30852,55474,48641,40551
1711225272.137756,47,21,146320,23291,1083,1475,1555,3036,7182,1776
1711225274.1220887,41,26,1980763,186972,35220,47761,35805,20129,17643,35304
1711225275.132273,40,16,434708,67772,949,6394,16912,11939,9050,6449
1711225276.128519,34,29,1568695,105316,24598,36489,20324,11668,18958,4886
1711225277.146369,20,24,103748,154258,14010,8496,7188,6937,5129,9077
1711225278.1354444,27,24,1211593,120894,39980,21166,33023,25469,26425,23409
1711225279.1397855,26,27,220351,54542,4890,2871,3330,8419,3373,2849
1711225281.12068,51,37,1113041,67007,5058,11989,11601,7336,6452,6453
1711225282.1416576,53,27,988690,227439,15399,25400,12303,42445,44344,75017
1711225283.1297505,41,30,1066231,232713,21576,29343,22453,14940,23287,22809
1711225284.1219459,30,24,671955,294744,23275,84850,69804,46234,7537,1865
1711225285.1277914,29,29,77488,47216,16778,10286,10288,5844,3708,2049
1711225286.1476605,8,26,306438,147549,4969,8700,8663,3285,2298,937
