,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711932341.7831545,51,47,927707,95227,35324,19698,16953,11001,4811,3852
1711932342.7729583,69,56,64120,31982,17202,2636,2575,3760,3345,1281
1711932344.780986,100,100,27905,50401,105222,17267,28638,17048,2167,3946
1711932345.7691498,75,90,456874,163203,37701,21873,40921,9252,6681,4136
1711932346.759192,66,100,51093,49468,99199,55294,61514,20662,7076,6794
1711932347.7786503,34,100,179190,8240,33444,8228,7462,2763,1980,1934
1711932348.7676125,7,70,306547,82807,15424,15605,12223,5086,3199,4569
1711932350.808353,14,66,171837,15330,11998,3900,6960,4667,2659,2800
1711932351.7679374,7,60,158993,26658,33854,19172,9557,2041,2368,3223
1711932352.7876415,30,80,67034,59300,94471,13284,25335,14102,5437,5818
1711932353.7758765,34,70,110432,32186,18312,1160,11432,1492,3265,2515
1711932354.7964003,10,74,146043,110015,64540,46578,27479,11242,4808,2082
1711932355.7864006,38,56,112706,61315,19449,18522,17389,9010,9208,4442
1711932356.807151,38,57,33017,86052,103918,30798,11254,17977,5481,2332
1711932357.7641494,63,44,15426,156234,20343,13749,30918,15180,3340,5530
1711932358.7830038,50,61,154372,11921,49794,2154,3190,1667,468,882
1711932359.7733445,20,80,24384,22170,32984,23348,5418,940,1884,978
1711932360.7638564,14,77,462925,50142,51401,60712,25753,7248,5754,1751
1711932361.7844157,21,100,154589,35758,57943,39251,23040,13424,7800,4283
1711932362.7722335,41,100,64432,11368,22870,17883,6301,2202,693,999
1711932363.7617176,64,100,932967,29702,196846,38856,26135,14427,7218,9966
1711932364.781261,80,91,2286570,88305,90662,14469,81729,21739,7762,3685
1711932365.7711666,64,100,88396,21748,135881,11924,24494,6815,6348,3041
1711932366.7907436,78,93,81137,12215,26599,10824,11519,5057,4655,2043
1711932367.779146,63,67,162120,60420,24208,10835,8658,2024,798,1267
1711932368.768398,54,75,601791,61095,57504,20238,17263,10153,7339,7153
1711932369.7896476,64,56,1168061,129968,83487,48806,28555,21869,7350,4669
1711932370.7771518,54,41,45486,20169,6135,5994,5234,1590,1748,482
1711932371.7981608,81,53,54630,37936,54488,40079,25694,16894,14520,5938
1711932372.7866797,81,54,98667,8981,13021,7192,6361,1863,889,1394
1711932373.7766674,77,47,264501,216584,69739,55966,68982,19122,8258,6590
1711932374.7656975,90,57,48826,65345,80418,18680,27600,18690,6007,2478
1711932375.7856467,80,54,41701,66443,67477,10904,13349,10015,3159,3982
1711932376.7761488,70,48,85199,141398,103745,15824,29188,9633,5222,2958
1711932377.765999,83,56,1488551,93349,63902,48394,32029,23486,7466,5413
1711932378.7856338,56,41,683241,209140,65224,19045,55254,6308,4266,2250
1711932379.7764237,57,40,133806,11295,16813,4379,12253,2420,925,1595
1711932380.765145,70,51,54761,23231,59758,56140,38065,11651,2255,2428
1711932381.7851455,50,60,42614,18359,29297,4191,5120,1657,789,650
1711932382.8042033,70,78,31482,36634,54767,30920,19663,10740,4311,4249
1711932383.7611775,74,77,87221,17391,16493,4059,6700,3211,2253,1005
1711932384.7811673,69,69,1333099,59468,21846,84424,28895,11523,9004,2638
1711932385.769199,75,63,23080,83571,86928,14159,28854,7271,12474,5018
1711932386.7905993,78,51,155086,14543,9663,2560,8306,3141,1378,2092
1711932387.7801955,61,64,55075,71533,199396,11965,13724,7790,9180,10977
1711932388.801146,53,51,73119,131108,35887,26375,26171,6839,13037,4266
1711932389.7609198,56,47,616292,34344,20737,3847,7649,3291,667,716
1711932390.7821462,61,57,1449843,36340,57877,36336,32941,20454,6681,8354
1711932391.772545,78,29,125383,22791,5510,3658,5427,2801,1671,1330
1711932392.7629325,80,23,1215438,295723,29660,46630,15951,15576,8501,2944
1711932393.7833068,67,43,785889,138995,313303,48503,21475,12781,6382,4461
1711932394.7736301,54,37,162054,72066,53128,9033,10328,8222,7592,3851
1711932395.7616508,50,29,280796,221576,17552,26548,34247,18082,11728,4061
1711932396.7821295,50,29,503423,248379,49298,35373,42950,14560,10791,11452
1711932398.7937152,57,1,568625,249860,37419,62571,85531,12501,4473,3319
1711932399.7844694,74,1,116248,14703,6095,1383,4662,3586,1030,1161
1711932400.773182,74,4,92876,134633,48625,23127,19860,9006,7320,1792
1711932402.7839472,88,17,69841,68769,12159,6330,17619,7796,1560,2734
1711932403.773155,67,27,18166,125731,51363,47616,17155,10659,12915,3638
1711932404.7637026,74,34,570176,80590,73212,19552,50182,10554,13714,5450
1711932405.7858942,67,29,127162,189717,151485,18388,28789,15213,4802,2626
1711932406.7746532,64,50,266445,110800,86347,59202,29819,18760,7572,8588
1711932408.7851593,43,44,430743,374444,268184,19069,46510,15793,10663,4210
1711932409.7735422,54,47,741271,91669,84269,63984,70769,20663,9633,8658
1711932410.7921958,53,48,163726,15796,20503,3823,4338,2701,2708,1149
1711932411.7807717,57,53,30051,26099,21391,5147,9994,2320,7597,2324
1711932412.8014946,70,44,92298,219357,54824,40284,23077,18129,8883,3401
1711932413.760639,66,48,704535,121280,134509,35997,23730,17637,9883,10819
1711932414.812461,75,47,571942,52184,61470,23501,23023,16001,13573,14933
1711932415.771499,63,30,98465,92957,12913,10366,23294,2884,1605,2371
1711932416.7619126,64,57,68536,24079,67560,34395,4951,8079,3961,6633
1711932417.7842364,78,53,46453,49659,40175,16257,7024,15246,15090,9661
1711932418.774463,78,54,64204,50761,38016,30810,6180,13847,6208,10519
1711932419.7646492,100,54,91027,15129,2551,2581,6181,3266,1208,3367
1711932420.784151,100,37,70374,32198,19240,6401,4140,2877,1102,1224
1711932421.7731488,100,40,45285,33817,52975,7716,19554,10644,4240,9969
