,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1712077261.2860236,30,54,9643,66537,34542,33943,31636,11320,7214,7034
1712077262.2780259,34,48,98860,14628,6201,1190,3643,4052,802,1845
1712077263.270025,24,29,603786,115474,18214,10939,8412,10726,18137,17055
1712077264.2930243,11,11,82369,55961,2871,10592,5528,3839,3715,4491
1712077265.2850254,17,17,74079,15473,33436,19951,4037,9302,16340,6776
1712077266.277025,1,8,112341,197714,11723,4065,37213,5516,6156,2442
1712077267.2690256,1,37,576537,30389,7089,19990,7704,1524,1369,2117
1712077268.2920246,8,60,5031,28883,10776,7921,3904,12627,7242,8766
1712077269.2840254,11,40,21747,24434,7388,6128,6388,6121,5158,5324
1712077270.2760277,29,70,51817,14726,10566,19048,11296,6026,4568,6040
1712077271.2990253,35,53,335211,45809,1210,7127,6187,1995,2084,1863
1712077272.2600262,35,66,10393,14892,24944,25316,8539,16168,3722,11280
1712077273.2830253,24,81,6417,26673,45075,7830,11881,4635,7780,4908
1712077274.2750247,44,70,5027,5142,5096,3623,7621,11479,5636,6444
1712077275.2670248,66,84,50809,39278,11778,20663,12677,16923,9061,11659
1712077276.2900233,64,66,13553,12441,5298,4516,12769,4653,11562,7774
1712077277.2820265,80,53,17738,14797,11365,3585,11515,7271,11609,10289
1712077278.274026,69,56,56393,8950,10010,7447,14986,8964,6856,4262
1712077279.2965238,60,63,143396,62358,22331,35469,12210,10470,14472,8605
1712077280.2580237,53,54,264072,93356,16618,4814,9954,14891,14501,9631
1712077281.281024,54,51,46247,26415,14847,2699,13200,13750,10338,5513
1712077282.2730236,37,38,61200,129795,10975,14191,5655,9810,11468,12573
1712077283.2650254,44,29,19853,40544,10848,16749,17645,14143,7850,10631
1712077284.2570255,43,34,403554,74897,19035,2369,10446,10555,3786,11199
1712077285.2800252,26,24,201598,52182,7105,4327,11748,4230,1848,762
1712077286.271524,37,40,253512,66635,41739,8310,8448,17086,8964,9064
1712077287.3260238,40,40,8388,9923,6455,5038,13310,6017,5722,6592
1712077289.279024,38,38,348665,120213,44845,15652,12911,18217,4494,9296
1712077290.2710247,29,30,367883,94672,31177,9607,16154,9491,3427,4962
1712077291.2630274,24,30,9486,38058,6001,16907,14266,9228,7128,17472
1712077292.286026,38,54,18014,37137,29189,13297,22142,16539,16405,12514
1712077293.2775242,44,63,64726,8661,7194,5663,3169,3653,1800,3471
1712077294.301024,54,64,156147,66928,26795,10912,20567,17537,7079,10248
1712077295.261524,50,64,70704,13819,5166,2245,5493,2273,3108,1539
1712077296.2850251,41,75,71433,24125,18944,55148,28253,11093,12918,11814
1712077297.2765234,38,61,571168,68065,17860,5495,2920,13203,5865,10992
