,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711227056.1466293,30,30,56582,10860,1443,1057,746,966,1401,614
1711227057.1430287,20,38,156349,29654,8105,4309,514,2907,3218,1955
1711227058.129397,1,20,434026,218774,6932,16230,24300,10419,9564,10142
1711227059.1328926,24,43,3769,2428,2998,7005,1354,2304,1283,1560
1711227060.1276562,14,64,167562,129360,99027,27294,17742,8757,12857,8572
1711227061.1300201,27,51,13571,12719,2168,1345,2040,1341,1037,1539
1711227062.1440976,69,66,8449,7813,1806,2134,5062,3246,1504,540
1711227064.15151,63,50,12357,12541,6625,1135,2563,2235,3963,1490
1711227065.123979,60,50,931016,91803,16678,8744,14606,9358,5069,6130
1711227066.1515138,54,64,108420,38053,24731,47489,40812,25622,3608,5541
1711227067.1437604,63,54,345353,55846,36146,12658,20577,8304,1348,1096
1711227068.1402874,40,56,45243,16110,3779,5890,2624,839,929,782
1711227069.1366224,51,61,7361,9817,3050,1918,3833,2112,982,1324
1711227070.1422977,14,64,42938,28519,26489,4230,5167,2113,2487,1494
1711227071.1367667,8,69,824097,161048,68468,66895,14214,20037,10285,4836
1711227072.1318214,50,51,72500,34100,6797,5381,14736,33513,5076,7361
1711227074.1389196,67,48,6448,6545,1944,3847,4028,1537,682,1230
1711227075.1356585,63,50,80180,17547,14384,3547,1495,1991,1470,1318
1711227076.144771,56,50,17612,7084,1796,120,1568,4432,1619,1255
1711227077.1258645,44,54,18182,33349,22108,15759,25360,10301,7317,6526
1711227079.1480222,44,34,114336,90858,19482,20423,5345,8525,7432,4486
1711227080.1372597,37,48,20590,20695,7902,17913,27536,12980,5272,4459
1711227081.133057,48,51,14185,17080,14302,10093,1903,14396,4723,3612
1711227082.1438916,57,54,6182,43594,13367,9482,11913,15271,7038,3098
1711227083.1408548,66,69,32453,28838,34517,20218,12295,11804,6019,7904
1711227084.1279058,75,64,37498,10250,5489,6957,21175,10322,5818,5644
1711227085.1480062,60,57,83447,10544,5159,1449,3545,2081,2403,638
1711227086.1495762,54,61,120997,14145,4990,4726,4130,3269,1715,1415
1711227087.113577,57,66,93807,18138,51220,10291,10363,13686,10921,2266
1711227088.141234,57,60,6898,6047,808,1355,2472,4062,785,1534
1711227089.1547008,66,41,95942,141707,17663,4370,24960,33907,9351,6019
1711227090.109224,70,41,6152,5789,1981,3533,2565,2348,693,2164
1711227091.155177,81,35,310,9579,13462,11709,4565,12709,3478,1638
1711227092.1333733,63,40,563254,70339,2313,21763,12050,10284,11450,4030
1711227093.1285346,61,43,170068,14178,2361,714,5858,3751,1548,2003
1711227094.1452787,63,38,20019,42719,13726,13373,15380,18057,3570,4354
1711227095.1427934,67,26,8468,23291,5444,21169,15478,25579,7514,3699
1711227096.1378186,88,38,8939,11020,12431,15787,19970,19698,7480,3849
1711227097.1338682,77,56,68339,18396,11971,1619,5824,3051,1133,933
1711227098.1288774,91,56,6922,1083,382,1965,2864,2683,1482,992
1711227099.132968,67,38,371693,43736,1192,4683,5471,4349,1073,2488
1711227100.1454237,44,13,166826,43525,2445,2295,5024,3982,1677,1568
1711227101.1409254,54,14,46411,40312,21300,22709,20716,15516,3204,2334
1711227102.1360722,43,13,3249,5841,873,3079,2587,2862,544,885
1711227103.1301656,47,34,11382,33550,15707,8822,18335,6761,4058,8121
1711227104.1507177,44,53,112197,18188,3940,6559,6786,2319,1590,756
1711227105.1458402,53,47,15793,12486,1853,8470,8562,8138,4540,1558
1711227106.149507,40,61,56440,26486,28627,28236,18864,10120,3423,6266
1711227108.1255403,61,84,1785,2871,1413,5885,3164,1944,1278,601
1711227109.1374712,56,100,12079,5735,15453,9117,3744,7188,6139,6930
1711227110.1226456,57,100,55023,9231,4638,12292,2319,3387,928,1031
1711227114.1308277,30,50,90683,34855,14058,2592,3862,1970,2240,1378
1711227115.1433847,34,54,4725,13757,6722,8369,4182,5010,1202,1260
1711227116.1312592,23,60,8619,17399,4336,24329,16155,7997,1379,6177
1711227117.1257915,34,77,117101,14644,29840,12255,25994,10815,7363,2247
1711227118.1228602,47,91,15933,25633,55820,17289,17115,11238,7101,5227
1711227119.1259873,24,83,115237,47485,3622,12827,2841,1391,1520,1202
1711227120.1348565,17,77,12548,38827,6050,10996,1675,3819,2058,1665
1711227121.1319814,7,61,66591,55509,9553,6938,4346,4192,2430,3351
1711227122.134112,8,43,22130,11375,1655,3666,1219,1437,395,521
1711227123.1391277,30,40,130153,23744,3580,10726,20252,6511,5171,1446
1711227124.1354053,35,47,57850,29203,23130,5387,7581,5496,3167,1952
1711227125.1397643,56,51,13088,46300,17601,25847,23073,33008,4637,5942
1711227126.1507838,56,51,197218,70490,27335,11516,34899,8618,12278,6079
1711227127.1225567,57,64,22553,17372,7417,34083,26466,12201,4646,2582
1711227128.1479373,53,54,279904,54715,8649,8385,2982,3590,1343,3312
1711227129.1433036,38,56,1611956,145295,97368,14944,62730,31193,25805,5765
1711227130.1094794,35,66,72381,4069,4089,663,1520,556,539,202
1711227133.127704,38,44,767586,669154,38623,204021,126017,37058,9619,6304
1711227135.134454,48,23,149542,53285,13770,17651,21289,14662,6147,2456
1711227136.1312797,48,37,97257,14584,2250,5537,3262,4150,2471,2544
1711227137.1261604,66,40,731442,61552,10654,23905,17323,20701,11445,4863
1711227138.1211834,81,57,37360,8119,16252,18212,13240,24471,14776,11505
1711227139.1399598,100,50,54405,18798,7349,4860,7448,24709,10140,4995
1711227140.136256,100,54,25358,17260,17006,7098,12755,12639,32008,4111
1711227141.1329205,100,61,20645,10677,6647,19929,9038,23812,19364,15299
1711227142.1430228,100,56,22748,5122,4592,16772,27013,8568,8721,8014
1711227143.1257327,93,67,632195,45209,30900,13475,14677,15864,10037,5153
1711227144.1294992,93,77,22921,16574,21982,13843,5862,16186,10479,4593
1711227145.1243556,88,69,21028,8850,4828,11718,31516,10050,10841,10070
1711227146.1503804,93,63,17815,18726,12104,5850,13656,19524,17618,10253
1711227147.1369646,96,77,365873,12205,40015,19791,19273,16989,10561,12929
1711227148.1333122,75,63,358436,20352,7115,1654,2303,1400,766,1077
1711227149.1367905,66,74,10823,30426,14341,24010,11193,14291,13002,4700
1711227150.1475391,69,70,34191,12551,10705,4266,19110,21278,6074,4794
1711227151.1353037,78,61,30401,10823,1759,33537,19651,23730,15219,4212
1711227152.1480744,87,48,8798,90736,4847,14403,16778,11059,6667,7889
1711227153.1294136,91,44,38652,21297,15422,7751,11911,11297,10512,3683
1711227154.1324449,61,38,168370,222742,33056,21262,33653,16127,12280,5398
1711227155.129351,37,16,41792,31995,4409,1012,4583,2483,705,1510
