,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711229907.1041481,29,37,37212,44900,14192,24831,8754,7553,10511,4661
1711229908.108852,35,17,144566,101707,2161,3855,11232,12002,8465,10739
1711229909.1119606,51,50,32296,4359,4665,4210,1726,1651,2258,2201
1711229910.1169753,81,78,14632,12104,10011,8009,17420,15622,5932,10878
1711229911.1123793,88,77,61722,17753,13558,18463,8585,9118,11689,8374
1711229912.115045,100,100,11605,13545,5108,5848,7993,11940,11003,9806
1711229913.117533,100,96,122861,23345,16425,19959,13568,12901,5648,10338
1711229914.112871,96,91,57788,46343,10790,5372,8390,8860,15217,8406
1711229915.1094725,94,74,31966,46529,9824,6318,7015,10204,13042,5676
1711229916.1054177,78,57,82243,18830,541,1722,1331,2503,1609,1661
1711229917.1335306,75,63,10891,4162,5434,2463,2153,1749,2827,2896
1711229918.1124365,75,57,2012524,348564,8543,65469,82334,56620,15573,14762
1711229919.116024,63,70,228718,208971,75687,90619,29097,19199,15361,20733
1711229920.1176436,66,96,21440,8209,5311,2991,1784,2880,1518,1185
1711229921.1163058,67,78,75083,18148,5228,1204,4084,4220,6757,3629
1711229922.140836,64,94,8402,15034,2893,9772,5312,2376,2804,1941
1711229923.1063056,90,88,55679,9201,7853,4566,11523,10515,11033,10884
1711229924.1101868,96,88,8584,9478,12380,1980,2770,7301,7510,5108
1711229925.0995631,93,100,6698,21185,13958,16211,20589,6730,10966,10772
1711229926.125684,100,88,36549,15172,263,6757,8595,11032,12017,8122
1711229927.1285615,96,100,1562,17514,3753,24384,6843,5016,9951,7195
1711229928.1267846,77,83,1167934,80832,12304,6290,3685,5798,5108,4468
1711229929.1141376,66,63,2169544,1056479,131537,36167,57981,60904,86088,13484
1711229930.1094813,29,57,3535591,635485,62719,41559,52431,15048,30130,24128
1711229931.1118553,29,27,31464,91648,5046,6761,13034,10907,7086,20675
