,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711226771.5296845,41,30,677517,62791,10099,2751,4928,6509,8574,2562
1711226772.5226605,54,54,2332787,34249,62893,45017,17808,30069,15853,9754
1711226773.5037043,63,63,139580,37572,16607,8109,5555,8119,5642,4192
1711226774.507593,60,53,947025,470245,64037,37225,51516,26987,17935,16021
1711226775.511209,47,57,728436,57771,16153,1457,10042,2273,5993,2347
1711226776.507023,38,38,689332,24050,3931,10194,6001,3942,6219,5733
1711226777.510123,21,21,1044701,1064365,111758,90067,24322,37586,16797,36366
1711226778.5226972,30,48,1866058,230023,254683,20291,19981,57998,101691,45736
1711226779.502908,51,47,765712,160798,23928,20182,12561,28010,35312,16694
1711226780.5200613,54,30,367604,179665,26157,10502,17465,30448,13955,17801
1711226781.5249057,74,30,483324,57689,6871,5757,4031,11174,9194,11775
1711226782.502822,75,7,65926,25551,3389,2600,527,4142,3765,2083
1711226783.5083296,77,13,673492,74522,9945,26578,20964,17380,10897,14603
1711226784.503,61,26,1427569,187463,35567,39325,15647,11183,14327,17587
1711226785.5143905,60,47,1749180,171189,57988,85617,23140,38651,54440,27294
1711226786.5102696,40,69,539486,253830,176422,53958,19555,13397,22709,16619
1711226787.5150905,34,70,2217927,505190,161123,68158,41696,63434,21939,59440
1711226788.5259857,40,70,884091,89333,18379,22275,15869,9056,4514,7274
1711226789.5139153,56,53,110742,1867,689,675,2417,2779,1719,817
1711226790.5100715,77,40,45171,56489,29045,4696,18205,19457,15148,12489
1711226791.5196936,78,44,2099889,229528,70638,89677,69697,53387,35875,43212
1711226792.5242393,69,47,158800,81283,18386,16830,3981,4439,12934,2710
1711226793.5117133,69,47,1013363,708736,214862,470906,34502,203704,32208,12431
1711226794.5070589,69,47,102856,3989,545,373,792,261,375,187
1711226795.51177,51,50,947811,123978,30710,14095,37401,25793,18123,17149
1711226796.4986553,41,41,1843188,563621,69768,63248,20173,52175,10549,9583
1711226797.5107296,30,34,724910,93210,9991,18981,12228,6988,6729,1120
1711226798.5233018,54,38,70895,19932,3020,23179,10621,18143,9824,11374
1711226799.519485,61,47,121959,2827,2127,1860,5275,1915,1135,635
1711226800.5053463,60,41,124284,98209,8831,8618,5263,7190,6835,8227
1711226802.5004208,47,27,1521070,84726,16224,14023,8791,8189,10494,7420
1711226803.5003364,34,26,780068,20657,5126,4995,3167,2449,1957,483
1711226804.504427,51,30,29921,20200,4633,3201,5146,9096,3485,5485
1711226805.5067592,64,35,2718998,65230,15483,19840,32770,33544,8907,5870
1711226806.5020375,69,27,566117,31431,659,7340,7464,4365,2266,1891
1711226808.5287333,54,40,1120227,43691,12988,8770,6817,4032,12379,7290
1711226809.51253,44,30,51864,21775,4585,1134,13649,3548,2763,2640
1711226810.508287,44,47,146197,40261,22992,5102,12862,8053,2376,2648
1711226811.51697,26,30,710559,327252,53697,16737,9246,6527,7240,5853
1711226812.516424,24,14,1777891,354770,8936,45434,20928,20836,26142,10570
1711226813.5235229,8,10,230781,44772,3220,1737,982,1417,2429,3090
1711226814.5237174,1,4,1062907,74471,12346,15133,5970,4066,5280,4971
1711226816.509067,8,29,2260373,276565,109680,87484,61663,22060,25959,41694
1711226817.5019886,13,47,337491,16780,3450,2320,1165,1075,987,334
1711226819.5028074,26,53,928538,68483,6784,14473,2613,6735,988,911
1711226820.522595,43,50,11999,23475,13079,8880,9994,10032,4233,3542
1711226821.5246754,57,69,41276,10901,4928,42113,25999,11732,3348,7384
1711226822.521832,66,60,149229,95205,22924,16017,44246,29823,13122,4201
1711226823.5323346,77,74,61473,33204,21137,21616,18974,14438,5481,3804
1711226824.4955258,63,64,1470966,444263,82242,120857,232823,39186,36025,55758
1711226825.5148077,56,64,561211,48488,35086,35392,4398,12948,11945,12927
1711226826.525811,50,77,660386,38801,20637,5953,5901,7270,7370,3250
1711226827.521341,41,53,333279,485755,51912,27332,30273,46623,34850,18938
1711226829.5055265,47,56,1125668,50265,41716,64857,7918,11003,19679,10665
1711226830.523959,34,41,228067,214653,22847,25624,9396,10573,22478,28951
1711226831.5216284,44,64,2043961,44471,34829,41126,36170,26821,27307,15740
1711226832.5177178,30,75,42971,24939,14379,4235,4509,1761,1286,1940
1711226833.5168507,34,34,930568,100369,3082,6809,26735,8786,1365,2638
1711226834.5086327,34,29,1881096,532260,24688,46141,55975,24390,10959,4128
1711226835.5013242,24,7,304440,150193,19288,3158,13825,17608,20035,8026
1711226836.4993622,17,1,197961,49935,1855,2515,7447,1080,2579,2498
1711226837.5251887,16,11,179264,41470,6994,47105,18920,6942,8203,6082
1711226839.518318,56,30,11340,3956,3769,373,5097,7551,3567,3846
1711226840.5222993,69,40,99971,10458,1189,407,702,890,511,477
1711226841.525408,69,23,1631996,96772,12089,13279,13732,10934,20682,3160
1711226842.5294895,56,37,111098,11998,5580,5866,6020,1486,5438,1396
1711226843.524182,34,41,955260,91884,39411,13955,26569,13565,13492,7600
1711226844.5179596,35,50,305395,229543,42387,24877,13295,24859,20566,15800
1711226845.5225666,27,47,103900,47694,5468,4754,3733,2720,1988,1067
1711226846.5035708,30,30,88196,78643,15082,5374,19421,8830,3050,2850
1711226847.5057752,29,23,60871,168362,4046,40293,13547,15456,8100,4592
1711226850.5014074,47,30,92991,35683,7183,8726,10388,18045,9166,7198
1711226852.492298,70,23,1110575,46024,6865,12200,40351,29763,17222,6553
1711226853.518558,64,29,1203848,298440,51947,32783,20156,20694,30445,49388
1711226854.509534,51,27,77533,33448,3161,8482,15052,4172,2755,2388
1711226855.511365,41,26,270857,264664,58155,6688,7243,11350,12236,8678
1711226856.4988081,23,27,1312082,303690,19999,45478,23858,28862,15816,24657
1711226857.5196319,29,27,95032,56714,8241,11456,8986,8173,9008,2666
1711226859.503017,54,38,10384,16977,3531,1550,2668,6534,1450,1406
1711226860.506003,51,37,313661,72605,2037,12696,6208,5621,2399,3340
1711226861.4999208,60,48,950349,62610,39409,19587,14766,26689,14079,12198
1711226862.4956732,54,43,989874,160955,51365,29954,18104,20398,13564,35161
1711226863.5143309,43,57,989764,594925,277323,150743,54170,95660,36056,51652
1711226864.5178092,41,74,828942,232848,123858,20112,35375,20261,7160,7111
1711226865.491516,20,56,196460,238740,27950,19724,12069,7191,16902,3624
1711226866.5210774,16,57,61932,51862,22584,4283,6692,4856,3265,1454
1711226867.5219846,17,48,121941,65719,16218,8914,9222,9560,12620,6576
1711226870.500508,81,47,65169,39833,8694,11537,35588,16819,8180,14728
1711226871.5058968,90,54,96866,1970,2477,178,1240,1106,1771,465
1711226872.507749,87,63,413630,34563,42713,8540,12026,17192,15020,11871
