,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711228450.4778297,30,30,79242,34889,3146,2382,8414,3254,1670,650
1711228451.460709,26,43,88516,16791,6785,7428,3588,3494,2131,999
1711228452.4767594,17,54,55565,62642,36305,15337,12465,9375,6881,3047
1711228453.4805675,17,51,9559,13835,1550,1526,1775,2925,796,2168
1711228454.4594874,30,80,172904,14803,34815,24457,13310,21023,5303,5256
1711228455.4647908,37,78,33749,17642,8139,17441,26079,6762,5477,3039
1711228456.4683037,34,81,22714,14531,9452,7595,6451,2272,1834,744
1711228457.4793317,21,93,368193,30322,9379,7429,4741,2351,2434,525
1711228458.4748714,20,77,65504,7833,3856,1855,6280,3468,564,1024
1711228459.470234,23,69,17621,18390,8951,4773,24789,7047,3985,1303
1711228460.4591424,20,51,276165,29930,4103,2468,3531,1704,1080,574
1711228461.4847305,38,40,7547,5963,695,1137,2971,2372,551,1445
1711228462.4802423,35,43,52266,34144,6046,19280,12125,11127,3832,2436
1711228463.4838839,13,44,251279,12913,2590,2970,1757,463,356,255
1711228464.4872928,24,61,54620,17651,1891,20152,8582,4312,2338,4644
1711228465.475454,8,81,12950,18779,18510,18971,30709,2972,2900,3128
1711228467.446302,16,64,151328,24990,2287,1913,3292,2981,1025,1361
1711228468.4843647,17,64,18296,14824,19398,7504,16628,5629,2345,1347
1711228469.4818227,37,60,49281,36114,20116,8665,8605,20337,4187,2059
1711228470.4765656,47,64,2874,13158,1340,15247,19367,7113,3241,2853
1711228471.4499469,53,90,16359,9168,17983,11561,10234,6899,5497,2875
1711228472.469639,44,91,76332,10502,6012,3640,1489,1124,1133,568
1711228473.4640052,40,90,34983,50754,12392,18865,11478,15571,6801,3841
1711228474.4605954,38,100,19442,15255,9252,27713,13085,10159,5424,2808
1711228475.4645777,29,81,166415,8953,1775,1238,1885,862,526,410
1711228476.4688191,37,81,51503,17662,12826,13526,9327,4219,2573,2163
1711228477.461776,27,74,20212,47014,6065,8141,12637,5778,2773,4734
1711228478.4606285,10,67,113241,28353,9263,15392,5351,1658,1134,522
1711228479.4777129,16,77,8048,6435,2637,4110,5154,1961,1875,607
1711228480.4808466,16,74,59240,66700,26305,23298,7121,11269,3979,5058
1711228481.4605987,10,75,36968,27746,2736,5179,6587,1698,401,1061
1711228482.4815938,34,60,63859,34550,7735,10663,38327,16296,4044,3658
1711228483.4605384,26,60,45750,19890,8010,4971,5756,2827,923,671
1711228484.4652407,13,48,67455,51477,12631,1696,3770,1525,937,861
1711228485.4839067,24,60,46032,9700,4777,7520,9676,2899,4090,7304
