,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711678827.9734585,53,54,7019,22179,164,18116,5218,6724,4670,1044
1711678828.951231,51,78,33491,48255,64180,23867,15207,4596,2641,3940
1711678829.934718,53,75,93142,41952,4682,11459,5629,3061,510,614
1711678830.9426913,57,96,951492,52727,30319,40448,9404,8141,3069,4714
1711678831.9360995,53,97,105467,16338,16239,2150,2522,3266,6110,2378
1711678832.9393384,60,78,58970,75397,30016,21067,22664,8631,6325,6193
1711678833.9944365,61,83,128406,57347,20548,8836,14912,5853,5824,1425
1711678834.9524589,64,80,108502,30356,15820,16965,3943,5984,1566,1503
1711678835.932198,60,77,59580,90708,65420,10639,11582,7756,2810,818
1711678836.9340913,57,54,121618,46683,3099,5730,3869,3113,1045,599
1711678838.9297085,56,35,49641,58502,7134,4316,10055,5679,7971,2820
1711678839.9555748,61,29,195167,10088,8264,2171,6721,1693,1351,1251
1711678840.9838185,60,40,780417,144822,30460,13945,18080,8450,5460,3529
1711678841.9458725,64,29,176614,60211,21932,31213,14067,12117,4353,2782
1711678842.9430745,66,38,127536,12611,820,3318,4825,1947,916,397
1711678843.9710424,60,47,94060,98718,90779,7609,11302,7208,3814,1803
1711678844.9681058,57,37,156681,146964,2725,15141,7780,6473,6190,2031
1711678845.9493175,48,26,526983,264620,69310,16763,5458,13236,25027,8709
1711678846.953644,60,29,2059072,43188,11580,5627,9471,22702,8879,8420
1711678847.9525669,78,14,1174436,207079,79105,48341,80627,120865,40194,55195
1711678848.9460347,83,26,148189,57498,4298,10998,5448,4429,1784,1775
1711678849.9493506,94,16,710534,45612,6441,4622,7722,7283,5847,3175
1711678850.948778,81,29,47377,50540,14326,20976,21953,7442,5145,4721
1711678851.9785888,74,29,124141,22142,6805,3673,6129,4264,708,466
1711678852.944465,81,37,404140,17303,6165,6789,19432,4709,3717,6032
1711678853.9423537,84,50,30146,26309,5773,12542,15339,7201,3113,2571
1711678854.9436262,80,66,42783,21730,15778,16825,4009,2795,1888,2029
1711678855.943506,64,69,223977,98544,34125,8117,8469,3478,1621,1404
1711678856.9420452,54,61,14108,35762,1993,6841,9943,2120,1059,1142
1711678857.9425673,48,81,47325,30907,41382,14548,7991,6831,1399,2088
1711678858.9363892,51,78,21975,21809,16997,8501,2399,3820,3446,2832
1711678859.9319026,61,94,8787,28342,3865,30716,2439,4273,1278,1564
1711678860.95905,63,87,8001,84359,3556,7221,4284,5876,2139,1031
1711678861.9577088,69,78,13927,20376,20517,7034,9370,9211,4078,1739
1711678862.9878302,66,81,11325,32451,72970,7503,17975,6416,1298,1061
1711678863.9546428,64,41,28208,71719,4232,8836,35438,4569,1909,2647
1711678865.957474,70,40,36692,51520,3370,6684,2943,3184,1414,1759
1711678866.9562805,70,14,44443,63577,4737,15948,3717,4643,2659,1945
1711678867.9524171,69,47,19375,55233,32485,13013,4923,4985,2614,973
1711678868.9425073,64,41,1802757,925584,164169,443123,156913,393119,91282,169636
1711678869.9757595,64,60,781223,51002,19910,14932,12172,4706,2779,1011
1711678870.9446385,74,87,11843,5097,22567,3738,2240,4379,3334,1492
1711678871.9418142,81,75,2924,21906,5292,9115,4840,5032,3410,1350
1711678872.9673576,67,69,21596,87333,24235,20815,5278,7506,1796,3662
1711678873.9561095,69,54,10987,62231,12742,4314,7089,4698,1682,1641
1711678874.9513173,66,34,12950,18825,13634,7162,22750,3814,6204,3467
1711678875.9502733,64,43,38470,28754,44624,7210,12353,10122,4160,5399
1711678876.9796467,70,37,524229,74724,8514,16032,6140,11375,13833,12299
1711678877.952897,78,44,17105,39101,15348,11472,14689,10007,7206,10460
1711678878.9542532,75,44,11377,39053,19022,3499,5185,3862,5420,3793
1711678879.954251,69,40,58556,15820,12392,1574,1285,2186,459,498
1711678880.948812,69,57,76542,32526,52788,8110,19711,9309,5132,3344
1711678881.946591,66,64,13451,16329,13309,13216,13174,3852,3524,2813
1711678882.9473464,78,53,17374,18390,7260,1795,23838,6363,2825,2408
1711678883.9466329,77,48,8008,66432,35240,6757,10618,6495,2325,4061
1711678885.9427288,70,27,15268,32365,7508,3096,10139,3199,2427,4357
1711678886.9372127,67,48,33394,13270,19444,6424,11406,7458,4459,3819
1711678887.9988253,66,41,56386,48387,10378,6095,6731,3442,1996,3312
1711678888.9836082,69,26,6301,37151,6393,6217,6315,5818,1993,1653
1711678889.9566815,74,44,4864,36493,40411,5997,11022,9634,5856,1715
1711678890.9544275,60,37,106635,22681,5175,6740,3644,1429,584,493
1711678891.951641,61,64,61943,8874,49567,6754,13423,4065,3233,3486
1711678892.9438937,63,90,15826,24498,38547,21007,5550,11731,7054,3206
1711678893.950563,67,84,134765,4932,3534,1671,969,1950,376,432
1711678894.97359,81,77,5966,32049,7718,3074,5901,7110,1967,3599
1711678895.93435,81,56,77412,50607,20032,14995,13125,5356,4297,2063
1711678896.9558685,77,51,7994,25218,15244,23618,8337,5555,2182,2669
1711678897.9577804,74,43,6009,26873,7506,5804,2179,5170,7414,2772
1711678898.953722,61,61,122595,63123,23211,41363,3181,6356,1758,1270
1711678899.9513943,70,53,18181,27654,6933,4410,7897,8829,3036,1822
1711678900.95787,74,43,11205,31318,12426,9195,12377,4920,1596,1611
1711678901.9590394,60,40,11522,86902,23855,5596,12231,4288,1377,1370
1711678902.9524856,56,11,68922,119366,4741,13162,17439,4713,1308,2703
1711678903.9483926,53,29,15528,21475,31055,2547,5124,7994,3220,996
1711678905.9976685,61,41,27669,59014,4517,24162,7959,4913,4776,3444
1711678906.9345734,66,81,58776,4130,15445,24368,4052,2111,2122,1583
1711678907.9656873,61,66,85767,42323,4700,14658,5098,5694,3196,4545
1711678908.9364188,64,50,16126,26298,337,12920,16580,9491,5003,5547
1711678909.9581003,66,38,671303,81657,3513,13948,3143,7425,9488,6219
1711678910.9426847,66,23,6933,18738,30852,11475,16403,3240,5083,1759
1711678911.939561,70,35,7999,7792,7648,9796,6687,3444,2137,2627
1711678912.966936,70,47,134933,4871,2775,4532,2748,2915,1902,2255
1711678915.192271,83,53,136392,44410,18449,3358,11230,5750,8763,1274
1711678915.9578745,69,51,13500,35247,22471,8318,3485,2420,1920,1727
1711678916.9555333,74,38,20859,8641,2571,2900,7332,5252,2400,1806
1711678917.9489737,70,23,12058,18258,6465,2226,7080,3865,2784,1150
1711678918.9326732,81,24,5051,32379,15217,7184,7744,12625,1623,2190
1711678919.9635472,88,24,30040,42578,10838,30550,3293,5848,4127,2121
1711678920.9561403,75,38,31568,40469,12444,29634,10649,7842,2840,3447
1711678921.9498484,74,41,67239,43698,14687,7747,4365,8070,1889,1054
