,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711931400.818023,35,30,264158,54176,7454,6291,6678,5602,31215,5786
1711931401.8392012,40,37,98048,24091,7038,7203,3421,5714,3338,1787
1711931402.8299665,57,60,10760,5315,19720,13651,8889,17394,4539,3239
1711931403.8191404,75,74,38493,11984,18922,10872,20719,17549,5467,6871
1711931404.8400002,94,88,37340,4461,4185,1221,4173,3629,1118,1618
1711931405.8307886,100,100,20892,4904,25656,10287,7783,8840,7114,3813
1711931406.8211443,94,100,7417,3459,9941,11985,4226,8005,7170,7816
1711931407.8426924,100,80,7613,9265,3639,3065,6414,19427,6427,2207
1711931408.8319988,93,94,11335,11216,20139,20681,4079,12847,7359,2916
1711931409.8211815,93,87,4376,2653,13312,4815,9109,7576,7727,2809
1711931410.8419137,74,88,8341,15392,18661,19210,8854,3773,5948,3098
1711931411.8324401,63,100,5630,5670,10616,1700,3973,9028,4108,1756
1711931412.8538094,64,100,2102,2674,12440,20651,7871,9231,5145,1341
1711931413.8446658,57,100,17172,23280,21530,9704,4617,10743,6943,7786
1711931414.8656375,67,100,8451,6310,12053,15086,10668,6383,3073,4203
1711931415.8251443,44,83,108722,42740,3997,6394,3012,2725,1666,1453
1711931416.8461604,53,57,8864,9112,7005,4378,9847,12362,3210,1692
1711931417.8368475,53,69,5577,2712,12936,6700,3071,4211,1816,4367
1711931418.8262074,54,66,3154,1451,353,11240,7874,2421,3461,1934
1711931419.846648,66,81,228525,26084,20496,8470,15889,8342,13452,4992
1711931420.836644,56,90,6076,17127,6942,10800,5991,7572,10229,4850
1711931421.8254569,54,67,34421,19752,12055,6469,16308,6818,5599,2003
1711931422.8459063,43,64,61469,17858,13623,2513,1724,2106,2211,1308
1711931423.83515,40,63,70448,51770,32229,12316,14630,12665,16755,6859
1711931424.824735,37,60,32179,37972,12390,10251,6133,8787,7242,5553
1711931425.8446462,29,69,24937,26345,29888,8255,8131,6641,3596,3231
1711931426.8349102,37,75,75089,41804,58008,18400,13918,13405,6990,6221
1711931427.8564095,35,69,46873,48892,2082,23252,6292,8730,4269,5822
1711931428.8454795,17,54,479289,54744,8638,2246,3133,2039,606,789
1711931429.8330882,24,56,4740,10181,12525,13383,9123,6528,2881,3608
1711931430.822668,24,64,9461,9966,23189,55602,15198,10241,5468,2949
1711931431.8438013,30,66,26217,17867,12203,7244,13450,8267,4228,4717
1711931432.8341777,48,75,663624,38179,5488,13931,12782,7510,9031,4241
1711931433.8251512,38,70,29419,9787,10586,12467,14224,2450,2892,1336
1711931434.8451507,21,51,29945,25822,7998,5450,1738,1109,375,231
1711931435.8350034,10,60,71824,12073,8863,13667,10005,2570,775,1128
1711931436.824342,10,78,8906,14988,15327,12752,3212,5057,981,1907
1711931437.81615,1,87,64313,4883,11662,3239,3177,600,992,1190
1711931438.8370721,7,94,53754,33995,370,40183,4160,3682,3841,5712
1711931439.8276608,20,93,4818,7438,7212,8472,5949,6091,5470,3304
1711931440.8487093,20,91,15672,16808,11108,19979,9508,6046,5664,3034
1711931441.839204,57,53,2936,5290,2806,726,30225,10705,5536,7469
1711931442.8610415,69,56,12515,9469,10130,25907,19579,6313,10690,8446
1711931443.8499725,70,43,4837,10813,3530,5924,22155,5749,5345,2115
1711931444.8401911,80,27,81501,10431,3446,1047,4446,3975,1086,1519
1711931445.83198,64,47,99978,35866,6389,29641,49352,18945,7358,5184
1711931446.8223693,67,43,6612,16472,6598,25613,24277,8220,3914,4394
1711931447.8441646,63,47,9095,16076,7814,4026,13091,5074,5169,4280
1711931448.8644416,54,51,300274,20574,5624,4968,3665,4475,1262,1492
1711931449.82215,50,60,139510,2914,1752,2381,2373,1191,1257,1158
1711931450.8423343,44,60,46360,42211,37248,8900,14785,9593,9475,11167
1711931451.8321466,34,56,51877,65333,8941,14891,15676,4717,6351,3621
1711931452.8201978,21,63,135601,78103,53932,3222,14838,6865,6598,8299
1711931453.8403687,17,53,33923,43311,10386,14466,25277,9089,11225,7994
1711931454.8298619,17,66,10718,7063,21746,23262,4870,5671,14525,9211
1711931455.8488135,23,84,4744,3875,14522,11679,12598,2841,9094,6492
1711931456.8374171,27,100,17101,5856,5022,46631,11419,4497,3838,3078
1711931457.858013,34,100,8293,10476,14588,7677,20612,6648,3252,3083
1711931458.8184319,47,81,16593,8427,4663,3061,15190,6767,3971,4745
1711931459.838404,44,70,71721,10760,3281,7044,3920,1857,977,556
1711931460.8271954,51,57,42275,27901,18793,22132,14035,8328,13343,3420
1711931461.8166294,51,53,20804,44544,4372,28658,37640,16207,12842,5031
1711931462.8362978,40,60,38460,3163,1780,753,1525,706,384,282
1711931463.826651,30,61,152388,227064,128732,73465,48146,19686,16988,13708
1711931464.846649,30,61,2102955,12198,11384,2933,6635,6259,243,315
1711931465.8365653,29,60,80705,9567,5098,4137,2823,2036,2257,2203
1711931466.827649,29,67,1520,6377,19269,4902,16723,6241,4837,4465
1711931468.840217,23,69,73199,18928,8850,994,2986,1492,1202,1782
1711931469.8301816,20,75,266968,5874,2743,5055,2136,1098,1034,1885
1711931470.8501608,8,81,239161,33368,33378,31151,9408,6419,2145,3450
1711931471.840154,13,90,5533,18732,44220,11660,1462,6749,4330,4439
1711931472.8301625,14,81,629125,182507,28584,15207,32809,12922,5104,9805
1711931473.8204114,1,70,196055,55220,21975,6093,6428,1933,998,1502
1711931474.8391988,1,56,150348,38234,10840,4274,3451,3218,1313,1883
1711931475.8282673,1,35,62730,48907,13386,3018,3502,1661,1529,2252
1711931476.8166463,1,47,554525,73530,14400,33892,15167,8088,11166,3084
1711931478.824925,8,47,241090,80772,20447,13018,15168,8170,5200,3793
1711931479.8440363,34,60,95243,3628,2933,4127,1159,2831,3169,1870
1711931481.8231733,63,53,5636,17440,9884,3117,10592,8466,8652,4756
1711931483.8341234,61,53,2189,10917,583,20384,4623,4205,6783,6676
1711931484.825461,67,50,6268,6815,6061,811,6845,11531,5144,6119
1711931485.8455496,43,50,74390,31961,7764,4689,2773,1201,1827,1032
1711931486.8357084,43,60,89292,38744,41429,8765,16480,11699,5257,4874
1711931487.8565195,60,51,1028,8866,7892,7937,6174,15186,9118,4524
1711931488.8160567,37,60,23329,14729,8298,2983,1923,2439,969,854
1711931489.837687,53,64,25203,5378,1344,3166,2150,1429,2508,1876
1711931490.82698,60,60,53283,15711,9044,7259,8497,8138,6393,3266
