,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1712075911.0020218,51,51,97259,18125,9084,12537,2901,8138,11958,8341
1712075911.9940212,60,66,29165,10356,3869,7437,2116,2856,1922,2220
1712075912.986022,75,70,69909,28156,4559,22655,28786,14013,6615,22673
1712075913.9780195,74,94,19029,11155,13887,43989,20113,4185,4839,3120
1712075915.0015192,63,87,803770,177826,26834,62188,23494,28333,18086,8480
1712075915.9930189,64,74,55300,67096,3950,18829,9397,14151,9801,4181
1712075917.0157924,53,88,408383,60055,86747,43040,13602,17449,12797,9141
1712075917.9767947,57,87,202956,62674,73110,46014,7590,15522,9675,9380
1712075918.9997911,48,91,260546,35989,14620,12664,8382,2638,3174,2405
1712075919.9917955,43,100,77713,33660,44554,8347,10319,9190,5862,10171
1712075920.984291,44,97,1000754,43225,13407,21169,5916,8317,12198,7525
1712075922.0067928,44,70,110513,167901,10150,15445,16048,15549,28858,16817
1712075922.9992926,54,75,904202,75544,57089,20009,12232,14648,11500,8479
1712075923.9907925,54,67,627215,54733,36191,7612,6886,10807,3995,3976
1712075924.9826684,51,75,968513,22759,27415,6700,7787,4655,3888,2990
1712075926.9971805,47,84,841065,21599,26800,32294,89885,8186,13465,12698
1712075927.9894347,38,78,39239,62175,16392,13377,22622,4358,9189,4361
1712075928.9809353,43,67,940297,46831,16617,9893,5637,10620,18596,8516
1712075930.0039346,43,53,620390,65325,4356,3930,1210,3454,2431,3116
1712075930.995622,41,66,89177,30376,40880,67570,19859,13712,16304,9441
1712075932.9796252,50,81,190377,11811,12322,2295,9263,2971,3508,5609
1712075934.002622,60,94,87177,26836,2431,12014,4362,4172,2469,2314
1712075934.9951224,61,91,16585,17683,539,26150,2517,5009,10224,6446
1712075935.9866214,53,78,314275,156214,42817,16467,30132,14013,11919,7076
1712075936.9791222,51,69,901342,90649,23202,11526,19467,13514,7332,6297
1712075938.002122,47,61,143523,41983,6508,3109,5619,3555,2358,3164
1712075938.9936252,60,43,417855,37707,5422,9055,16029,18244,12428,17213
1712075939.985625,63,56,9590,21521,39302,8435,15265,5390,3280,5085
1712075940.9776227,67,69,64468,25312,26981,6606,8366,9322,11062,6929
1712075942.0008671,77,80,498340,50218,21146,21823,19815,13753,6765,3985
1712075942.9928658,50,91,1110799,145286,28708,75373,12878,9262,9353,9519
1712075943.9848654,54,83,86133,14167,7076,4109,2907,2916,6103,1672
1712075945.0388646,51,87,564165,29476,16228,69645,25333,14418,9413,7910
1712075945.9993641,56,91,162017,48858,34024,19967,4374,24198,7185,9517
1712075946.991364,69,93,836474,60475,33132,22937,2616,12565,8189,16035
1712075947.9833646,77,90,148205,15867,6692,3193,3413,5571,333,415
1712075948.9751194,77,78,8017,28342,8799,6765,3946,4781,2854,3911
1712075949.9985237,74,70,412328,69796,30389,8924,10614,18934,16734,14009
1712075950.9900248,64,70,14520,33228,19836,14854,12768,3803,3820,4459
1712075951.9820251,48,70,191277,160225,44366,21452,15656,11832,5552,10359
1712075952.974528,51,81,214571,53842,84939,16806,13044,25815,5705,6694
1712075953.9975245,41,67,68043,93246,3029,9804,8953,7262,12172,3439
1712075954.989526,56,63,60297,53811,27511,4160,5888,14992,6685,3453
1712075955.9815242,67,63,132271,56991,25916,4228,8808,13108,7506,3742
1712075957.9962313,80,81,254215,12854,4447,11193,6199,6829,3547,1776
1712075959.0192316,51,56,211071,405618,7607,9451,4085,2170,5384,3587
1712075960.0112312,43,54,286265,212369,43790,34913,12962,13141,9296,7853
1712075961.0032325,44,43,204435,25352,8219,5549,3878,3858,1443,3661
1712075962.987232,70,77,452810,28064,16722,23843,12244,11757,13005,9802
1712075963.9787312,77,77,582906,105031,29426,9237,5384,11073,6961,4774
1712075965.0022323,80,91,275078,22078,54266,33122,14855,16450,7767,18460
1712075965.9937332,70,90,159249,8642,4866,1783,1188,692,733,993
1712075966.9850378,64,78,196108,27592,9795,269,3242,3403,1986,2821
1712075968.9992132,56,75,262569,53292,48474,8379,7337,13386,5626,4874
1712075969.9894853,69,74,126396,37034,22126,3943,3741,12072,6054,2431
1712075970.9814699,57,69,353427,276194,18530,43787,52734,8276,9140,9369
1712075971.9739695,66,67,117716,22383,11929,4055,5273,3358,4142,1713
1712075972.9964714,54,56,676086,88804,16870,8318,5818,4035,2770,5415
1712075973.9884713,50,50,238743,20736,7046,2400,12345,2878,3471,2907
1712075975.0119693,64,60,1627982,102241,15216,62774,22042,26721,4702,4018
1712075977.0264695,63,69,414157,15200,26953,31404,30197,4818,2360,1287
1712075978.9788067,51,78,438750,265708,30649,13950,23191,5161,12602,4322
1712075980.0005147,53,80,11512,29463,17778,13838,17104,11310,7368,4759
1712075980.9927526,53,84,24114,8216,36125,8742,10204,3165,1248,4316
1712075981.9847555,51,67,31574,40623,3634,6831,2375,2847,2570,1848
1712075982.9759607,74,80,35816,31684,4038,13473,5835,8291,2582,9371
1712075983.9989657,67,77,35862,31718,7479,10524,3979,5677,3073,2710
1712075984.9902658,83,56,48527,17361,5981,6033,8701,8166,2161,3310
1712075986.0137649,88,60,41361,30560,4883,14441,28641,5166,7082,1807
1712075986.9742656,81,63,123655,22167,11770,9404,12946,3475,7431,5077
1712075988.9892683,94,69,7936,10707,9636,8908,6841,9410,3537,8346
1712075990.0127664,100,83,9147,4959,36238,6022,14688,19736,7333,14393
1712075991.0047655,100,94,14267,10366,26019,7352,4641,9736,6537,3139
1712075991.9962656,97,94,55495,39476,17717,1312,12449,3218,4171,1639
1712075992.9876075,88,100,110851,22553,46288,95881,29744,18350,9209,7944
1712075993.9782429,78,100,3845,14283,3530,16689,5056,4820,5449,6690
1712075995.0013769,78,91,32552,26705,3434,17403,7632,10684,7758,7298
1712075995.9925733,97,84,41038,8107,1980,2014,5698,6636,9288,5859
1712075996.9845765,97,66,64617,37648,14115,3670,7809,5270,3776,7530
1712075998.998862,100,67,18938,3498,9886,11344,8691,9817,9240,9702
1712075999.9906113,94,80,29764,24200,13192,10128,1919,8046,4881,4877
1712076000.981833,100,84,34153,28958,18799,10552,9217,13000,8136,3505
1712076002.0053315,100,84,7547,17956,7281,8948,5433,14162,6605,10679
1712076002.9973338,100,83,3287,8366,7231,7966,7849,3089,3778,4481
1712076003.9888318,94,75,1187694,158953,34582,25464,16275,24038,10886,17106
1712076005.0123317,83,75,92258,19189,9545,7491,6964,1873,2518,1765
1712076005.973334,67,80,25249,25220,12213,8378,3099,3703,2610,2331
1712076006.9963324,74,77,3979,16344,5868,13013,10821,8609,9151,5571
1712076008.9803355,90,77,8306,17055,25910,1131,6968,7942,6798,7191
1712076010.9942572,96,88,3844,4900,10483,1577,4347,6377,11665,8136
