,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711223907.6177752,35,30,81014,24608,2745,829,2120,2947,625,1457
1711223909.606378,51,37,332164,53478,32673,10556,45682,25169,22971,12916
1711223910.6017773,43,41,183235,38425,9519,6374,7044,4041,7019,5621
1711223911.5954993,50,64,51544,6759,1585,8785,2661,3508,1303,1739
1711223912.5991201,24,69,215723,86537,20740,10007,5767,4613,2921,6338
1711223913.6189537,14,78,28582,20710,25558,1261,14915,4998,13168,9499
1711223914.6160467,8,77,179584,64557,13184,5491,4707,3329,2078,1364
1711223915.594448,1,56,83229,199949,23734,11563,14992,14510,5148,8585
1711223916.605858,11,56,29015,9785,3458,2573,2240,2768,2182,870
1711223917.6034257,14,61,11920,24198,28402,40074,27454,13939,8202,5097
1711223918.5990093,11,64,509345,52577,9812,12728,2996,2470,2549,864
1711223919.585599,34,84,5734,7179,5854,13553,7463,11717,10052,7804
1711223920.6115851,27,100,7144,15028,10786,34681,15212,6232,3962,8116
1711223921.6000338,11,100,205444,128718,128623,42343,15817,6674,5814,9133
1711223922.6123595,11,93,569946,178848,35392,4962,2396,5128,11399,5844
1711223923.6002452,1,83,33006,16750,1207,6101,3248,3927,4158,2596
1711223925.615718,4,50,69559,38572,1935,5360,4852,1389,2708,1204
1711223926.595848,20,44,165124,133654,13615,10615,11229,17080,9341,12564
1711223927.5833223,11,47,220820,55287,19743,3679,2545,6457,1648,1062
1711223928.618577,23,53,21161,26520,39387,8112,6739,23132,7879,2983
1711223929.5969758,30,57,58558,41364,9290,3987,3140,3406,439,308
1711223930.592405,30,69,160282,11775,2433,5334,5247,2075,2702,2292
1711223932.6129243,24,57,37569,74573,17831,4571,18092,9540,1580,7255
1711223933.606006,29,57,39485,29275,6445,3817,5269,3760,2140,2352
1711223934.5846093,30,47,97314,41590,9028,1427,12815,7062,2371,1549
1711223935.605037,29,40,64695,15582,1380,4145,2423,2054,1986,1480
1711223937.5943124,47,51,42950,6809,3272,1997,2311,4827,1246,2055
1711223938.619967,35,60,52406,18454,3640,3194,1221,948,806,584
1711223939.5946257,34,69,305072,75185,26765,48911,28473,14994,9503,8145
1711223940.5978744,37,77,63974,15355,9667,21453,24453,9240,8622,13303
1711223942.6127145,44,77,403162,24282,5872,2342,4542,2249,1364,840
1711223943.6072402,51,75,871169,52653,25491,21306,5403,16388,17110,11602
1711223944.6119137,44,84,23526,6794,1596,29506,2516,4080,1056,3506
1711223945.614674,20,84,930278,86622,19554,46482,34815,6670,9899,11664
1711223946.5937781,38,74,195246,14728,973,2868,9773,8723,6422,3948
1711223948.6067772,30,43,374879,103043,28650,11229,8961,8183,2578,1711
1711223949.5981994,48,37,97348,71187,15935,18240,20749,25801,1816,2486
1711223950.5841954,23,43,386171,109012,9033,18554,21240,5605,9431,2739
1711223951.5883095,17,40,97437,188097,44346,18195,30743,24553,18797,9400
1711223952.6088457,21,41,543885,17866,5246,2508,3170,1996,2393,1225
1711223953.6045213,8,40,1143731,134573,26363,19539,21059,12403,14916,17700
1711223954.600199,14,50,91306,98795,40993,20049,10915,9619,18019,6606
1711223955.5945609,13,43,1110775,132411,14899,11563,35315,12373,15898,9035
1711223957.6168625,23,57,109671,25369,5156,9550,5745,5560,3562,2441
1711223958.5893085,29,54,132192,30298,11423,3153,8027,5214,4508,4581
1711223959.6175969,30,69,61857,98697,61240,33041,33986,16322,6911,15059
1711223960.6140366,20,50,650729,451899,17735,53045,14877,20865,48917,14095
1711223961.6011152,17,43,43783,30535,2094,5866,2813,4500,5823,3879
1711223962.5969374,26,41,100647,13842,3098,4322,4390,5739,2678,2850
1711223963.6084054,16,26,272995,37396,5082,1149,3412,1381,488,1426
1711223965.5982494,26,37,31153,14950,21898,22803,11919,12356,9141,7197
1711223966.6020722,16,23,656132,729618,37411,45620,107965,66107,16807,28407
1711223967.5910747,24,27,2093692,47789,2535,9994,7271,4832,2420,2432
1711223968.593264,24,48,150352,15743,4297,3432,1030,1444,2303,728
1711223969.598133,17,37,1424902,344585,114027,97429,61630,55670,51256,43756
1711223970.5936804,17,56,1669328,81093,9528,43791,8888,14259,4304,2810
1711223971.5893812,17,70,1802845,136062,133176,24978,21663,21414,22301,10248
1711223973.5987556,27,69,1091668,17894,9158,3907,11268,6220,5189,3044
1711223975.6029775,29,54,47287,6285,5093,1394,1073,2021,615,470
1711223977.600826,37,50,41351,6546,7858,35019,22194,17773,12399,11901
1711223978.6008122,41,63,418165,325723,26873,90255,29727,40435,29538,10305
1711223979.5968885,41,69,27220,8259,13371,4505,2402,3993,852,3521
1711223980.5985723,50,81,56053,18458,20833,25762,32702,10691,8377,10670
