,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711229304.4085739,51,51,794392,44464,17111,36739,23733,18765,19136,14785
1711229305.4207044,47,38,1027455,98196,19285,18590,29933,15273,8163,4636
1711229306.4230993,69,41,940775,40970,17372,20901,19317,27795,15920,11742
1711229307.42053,64,24,1977466,138996,7981,38625,19166,22111,17762,11648
1711229308.4139457,35,1,479448,328504,22214,9913,12344,9684,9246,7777
1711229309.4322767,34,29,532236,44922,29949,31253,15102,5770,5716,3503
1711229310.4131231,21,43,1995933,63854,45009,12900,9410,19651,15796,5766
1711229311.4093769,24,57,374997,290937,19991,62773,39217,28406,11719,22052
1711229312.4368494,47,90,1106008,98004,51710,41125,56340,19264,58750,22985
1711229313.4139476,41,60,1060900,110206,4589,14632,6823,5831,2033,1364
1711229314.413337,41,60,394401,2203,480,274,495,865,246,364
1711229315.4243522,48,37,366311,83934,6411,16118,7797,25160,23656,10967
1711229316.419915,63,40,408218,19000,550,7227,3770,5278,3053,4544
1711229318.4112659,84,41,210291,9680,4511,4504,11745,7653,8251,3369
1711229320.4098046,53,30,138377,58888,15972,6871,4364,3977,1903,5098
1711229321.4377966,66,34,117150,24835,6217,6991,4764,4476,7314,4096
1711229322.416407,50,53,1675183,50865,21657,43804,13003,14641,16811,17725
1711229323.4212706,51,56,77402,136606,15663,6166,11073,21394,10124,7257
1711229324.4237072,77,57,97895,45813,20557,6181,13193,16780,8573,10783
1711229325.4208865,81,57,61196,39824,15801,6491,10200,10559,14993,11058
1711229326.4239764,69,53,515569,270569,148964,60128,16597,28506,60031,30354
1711229327.4103568,69,53,906308,190371,27412,82534,80483,61182,19731,21480
1711229328.4221365,69,53,663908,39737,81029,134756,133932,46997,19410,13965
1711229329.411806,84,67,3526191,35071,9987,79194,105586,158188,54341,25124
1711229330.4131176,64,57,223803,17261,2893,1380,2112,2344,2259,959
1711229331.4096446,53,77,232570,31868,4401,62328,8726,12633,21555,13781
1711229333.4112082,37,74,884983,9502,15670,9238,4538,3220,1694,2185
1711229334.414709,30,81,743020,41584,16003,5045,7021,4616,2713,3574
1711229335.4392803,30,81,714587,4542,4576,5380,5460,3652,3521,1120
1711229336.4172573,30,81,271695,12279,24908,4206,3537,4696,4999,3956
1711229337.4299085,17,90,427324,43450,8526,7685,4579,5219,3870,2002
1711229338.4193828,17,67,1505498,327917,35124,91213,57867,34619,14246,8474
1711229340.4197676,24,50,856339,100791,16840,5034,14753,8327,3364,1906
1711229341.4217298,37,44,234032,28125,2852,6968,7396,11226,2979,5310
1711229342.4260216,47,57,172131,9158,7045,5320,2673,3851,3876,4830
1711229343.4228923,50,50,20036,37280,15860,26787,5236,21881,4312,4749
1711229345.4109843,63,61,51746,12696,2423,5760,8048,5826,12537,6650
1711229346.431594,53,63,330854,27384,6991,1032,1416,3592,2229,2149
1711229347.4344082,30,47,1380671,475303,124280,16391,19506,16026,16168,9633
1711229348.430287,20,40,279958,203730,44328,75059,40959,30005,24962,19814
1711229349.4338632,1,29,174362,62423,7875,3763,5265,3285,5010,3462
1711229350.4071076,1,40,1114564,86541,22007,28317,12179,9925,24436,17541
1711229351.4251986,1,24,231760,22799,406,2578,2135,1179,1740,1614
1711229352.4217448,1,38,58425,8947,3255,14966,8602,1804,739,2053
1711229353.4156594,1,29,1263833,409424,8704,29123,21353,17405,3755,3064
