,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711214348.5867846,47,47,12989,7757,9078,2085,795,2401,1363,666
1711214349.6000338,69,44,43916,28763,14224,13118,12114,21194,3545,4055
1711214350.5872374,60,40,829231,318389,65275,43894,35951,25818,7547,12184
1711214351.590644,60,43,47539,27238,16452,6177,8114,4667,1170,3163
1711214352.5793293,44,40,134339,2445,1027,1643,799,289,596,279
1711214353.5829022,14,41,36447,43971,23880,7315,13721,5247,4647,3949
1711214354.582877,47,37,20134,20689,6696,2663,13792,15846,5888,2484
1711214355.5967557,38,24,22339,16657,1996,2159,3169,1387,721,826
1711214357.5799267,87,26,14705,9373,16592,8484,6300,8788,3878,4162
1711214358.5996938,84,41,5954,5911,5201,11333,5832,10845,2789,5332
1711214359.5965755,87,54,46375,13814,9940,1724,536,1825,1530,410
1711214360.5766668,74,67,7423,729,8200,6254,6840,3064,5383,1807
1711214361.5951498,56,53,23613,22250,5290,2734,5517,2428,584,880
1711214364.6036623,30,10,554741,109727,10598,7246,13886,9406,6054,6035
1711214365.5843,44,16,16018,24795,6781,23497,21716,10500,3145,4240
1711214366.6006522,41,14,40451,10049,6155,6147,1551,3916,5532,1979
1711214367.5838602,57,35,40292,17315,14606,6121,5574,8423,5699,4165
1711214368.5797243,78,47,67245,7035,3430,1443,1436,3494,1976,1773
1711214369.5996282,91,51,41488,13868,23781,6189,1725,19232,10248,7414
1711214370.58082,100,48,10517,15363,15831,5768,13908,15298,1628,4022
1711214371.602835,100,48,8356,7296,6535,7013,5662,8362,2469,3773
1711214372.5765622,100,47,18365,15831,5353,6765,6575,6751,2348,2178
1711214373.566197,84,38,49711,14802,3198,4608,1904,2085,1281,858
1711214374.5938754,63,43,1670668,48524,33979,28818,29576,10202,6210,2617
1711214375.5810935,57,38,8856,26270,6173,17061,16985,14880,5965,3739
1711214378.5762827,57,50,77771,41189,11715,15449,55422,17765,9682,6180
1711214379.597119,44,48,3745,9947,1393,3253,3280,1674,1904,1503
1711214380.5991893,54,41,12142,9378,10417,8861,4817,4985,3595,3902
1711214381.5881724,78,41,22408,1281,8258,6542,10333,7841,5179,2065
1711214382.5755634,81,54,20460,2878,2631,15640,10590,6950,4970,4498
1711214383.5938787,90,70,24105,9351,17430,12351,3889,7385,1752,2730
1711214384.5881405,74,66,20668,20185,13043,4056,5909,2168,1269,480
1711214386.5740194,61,53,69371,6030,1180,3247,2916,1977,1209,1391
1711214387.5999537,75,41,20622,18635,14240,8999,13811,19099,5834,4172
1711214388.5972884,66,20,538518,328247,12625,9053,2964,7620,4278,2280
1711214389.582315,70,11,18757,7655,1170,2681,7304,7049,3148,6890
1711214390.5856347,77,17,10575,11273,3611,9424,4099,5960,4247,1823
1711214391.5750206,60,27,13328,3603,9032,14882,11612,3408,6691,2962
1711214392.5932026,90,57,14096,11687,13224,17093,4344,9496,2372,1356
1711214393.5813696,80,70,27794,5729,2730,11285,4857,5950,3700,1575
1711214394.5846481,91,63,39358,6132,4198,5137,17264,12516,6627,1785
1711214395.574233,84,47,55791,19759,3802,832,2254,1784,461,999
1711214396.576274,94,41,4505,4535,11920,3932,7357,12460,1790,4522
1711214397.5893698,87,35,13338,15410,6375,2838,3076,4028,4358,3422
1711214398.5844738,56,34,204762,49358,8472,3096,3139,3531,886,1058
1711214399.6029599,63,48,656760,18633,11822,19798,9137,6695,7232,2912
1711214400.573369,44,48,39219,6289,1286,6397,2386,1818,1979,334
1711214401.5770397,61,41,8887,668,536,811,2442,3046,2007,1219
1711214402.5661438,80,56,15265,12107,6210,29858,1965,20235,4177,2424
1711214403.5776622,81,53,45521,12064,9351,4787,3057,5895,2971,4217
1711214404.5749888,70,41,282183,22728,2520,2783,1389,1998,958,602
1711214405.5889351,57,51,13793,1166,780,1245,1046,1162,2325,689
1711214406.581642,44,27,20998,77348,7476,3541,15577,7885,4473,916
