,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711214675.6251984,30,30,166112,69795,4314,4566,4908,1816,2066,611
1711214676.631612,40,41,21387,14527,5361,4113,1743,1806,1382,1052
1711214677.6346939,63,57,9205,7387,7735,19782,12450,12238,7911,3699
1711214678.6075919,64,53,165908,35403,1961,4074,2666,2437,1476,881
1711214679.6100717,94,60,226718,26788,714,7010,5876,10119,11406,2864
1711214681.635925,80,29,201052,108126,2560,2573,2725,3449,1846,3180
1711214683.6147609,54,57,113425,48175,29384,12929,3902,4034,757,1933
1711214685.6165802,29,70,470906,46580,66013,12863,11351,13064,6161,4745
1711214686.6188943,30,70,81264,36577,13029,1693,1955,2316,3135,1366
1711214688.6111965,78,70,43291,37197,9905,3119,3144,4736,2578,888
1711214689.631271,84,60,18677,17313,6389,3954,843,4496,5141,6147
1711214690.63253,96,53,26293,26052,1443,6785,13112,4519,5497,6938
1711214691.6121192,83,56,228720,95715,34665,22706,23346,13780,10712,2743
1711214692.6322496,84,69,80140,22053,9587,11835,1887,4355,2071,927
1711214693.6134906,80,63,745029,86592,14230,16682,21627,13137,4423,12298
1711214694.6344597,90,66,149201,30195,10512,2851,8121,11648,2860,4285
1711214695.6123877,100,70,26147,7677,3937,4794,3082,4132,2117,1666
1711214696.6000683,100,63,60029,9215,5706,8028,14610,10735,4076,3905
1711214698.60703,100,64,25856,19749,4812,4190,3269,4626,2962,2108
1711214699.6177142,91,63,3621,6859,3157,2218,2368,1095,2665,597
1711214700.617328,69,51,76417,39997,2595,4848,2948,2576,1960,1473
1711214701.6326041,67,63,49953,20794,3147,21757,6034,6476,5153,4210
1711214702.6289852,48,56,284855,34307,3323,3599,2606,1222,921,1534
1711214703.6165822,48,60,1029,5422,2290,4215,2192,969,1706,1841
1711214704.621122,63,67,118600,8585,1578,2502,1452,2703,1666,1494
1711214705.60772,51,47,50574,39380,1412,3658,2494,2140,946,1202
1711214706.6157582,60,63,56221,13553,2628,8643,1923,1560,719,641
1711214708.6072373,47,47,127317,44554,2132,6871,1880,2256,2172,784
1711214709.6142583,57,70,12845,15922,9952,16444,5416,6284,4342,2387
1711214710.6240716,67,69,192295,4210,2719,2018,2361,1394,896,900
1711214711.6079338,50,77,144691,52016,21205,10042,3546,2062,2263,939
1711214712.6091738,57,100,24206,16236,41576,7428,11731,5842,3230,2939
1711214713.6119514,40,84,28851,32755,8096,1187,2912,1358,931,1176
1711214714.617444,29,91,8883,20439,15661,15813,5424,3309,4565,3932
1711214715.6135406,57,97,41100,15496,18609,15389,6861,14731,7099,7363
1711214716.6348789,64,90,30398,6912,6020,2729,3915,2305,1614,1635
1711214717.618341,91,93,22153,21701,9270,8818,19267,12511,7838,3734
1711214718.6153078,96,94,39671,7351,2369,10408,1240,1907,989,786
1711214719.618378,83,93,41053,29199,26906,9951,9162,6984,3936,3002
1711214720.6297278,94,81,3752,4180,1520,1370,2813,3375,1494,809
1711214721.611642,77,78,55517,51852,6845,14599,30925,4950,8470,3509
1711214722.6295652,83,63,13191,13453,4862,1505,1147,3875,1228,1229
1711214723.609096,83,50,504653,106515,19344,18332,12219,13616,3984,5722
1711214724.5971048,64,50,41950,29598,7830,1751,1233,3698,1673,1918
1711214726.6191666,64,40,10793,13292,8012,5097,16817,8110,5786,4224
1711214727.6311748,53,47,822380,46357,13724,11922,3811,2400,5276,4640
1711214728.6286507,67,48,36344,7048,1258,3113,3230,4543,1609,799
1711214729.6141927,81,61,9425,42189,12252,6245,3855,8246,4136,4391
1711214730.6175287,77,66,8374,28796,5816,13487,5780,8533,4663,2306
1711214731.6360986,80,61,51354,36219,6613,7279,2552,2079,1226,1383
1711214732.6244485,57,56,149924,123456,17751,9020,16058,8954,5943,5361
1711214733.619285,41,37,130782,62691,3106,2001,3258,2147,1939,655
1711214734.6230814,37,40,36520,24466,23626,3460,11360,6417,7734,6297
1711214735.6271245,50,48,7165,6643,5073,5769,5222,2867,2790,6074
1711214736.6152506,47,54,209032,44058,4669,8003,2882,2122,1215,1259
1711214737.5957987,63,84,20989,18852,9119,15303,2521,6345,8400,5368
1711214738.629516,75,75,43316,16276,2410,8549,8273,9097,4770,4593
1711214739.602555,75,67,13703,15123,6132,4847,6243,4132,5298,3782
1711214740.6301272,84,77,105830,12294,4458,4305,1279,1940,623,1518
1711214741.6237068,87,67,27235,24654,7087,8243,1461,7173,3098,4635
1711214742.6301734,63,69,48008,20816,5385,2309,2286,902,979,427
1711214743.6311598,67,69,123957,8436,2318,3614,1405,4116,1081,1560
1711214744.6213448,67,74,64438,36946,3629,43337,24991,7698,12680,6253
1711214745.6241295,74,64,30694,23149,2619,7185,8031,11095,7691,3964
1711214746.6040006,83,69,49584,69055,11917,31495,11636,8602,4462,4052
1711214747.6155298,54,75,34912,29847,18868,1654,795,1266,1172,587
1711214748.6180127,57,69,461553,25698,12430,2794,5490,4880,4064,951
1711214749.619452,37,70,347969,67645,14153,7409,7879,3424,1410,1230
1711214750.6193483,51,75,3613,4563,2578,6624,4846,4564,2537,1290
1711214751.629456,77,70,106709,45979,26494,8006,9916,17219,8381,3594
1711214752.6164598,91,63,29809,13739,4342,2690,8164,10706,4642,3836
1711214754.6080174,81,57,223256,39785,11965,7452,2604,4520,2462,2173
1711214755.6120532,75,44,1270304,138660,24264,3457,30671,20586,10737,9128
1711214756.6235075,51,37,663969,105967,1281,13853,10509,7203,20264,9738
1711214757.6188812,54,47,44289,10631,10723,2190,6223,2264,4302,2382
1711214758.6077929,64,43,18435,7415,1908,1699,2550,1990,711,1266
1711214759.6047351,60,48,60952,159256,25633,15252,6846,14580,12628,6866
1711214760.5987127,61,61,120078,40526,12291,4501,5912,4017,3559,1490
1711214761.624797,61,69,1022911,29505,45952,8890,7863,7195,7310,2150
1711214762.6215487,57,77,12746,8682,2576,6872,4442,2667,986,1121
1711214763.6243281,67,81,28158,38066,5332,15729,13871,11776,7938,3447
1711214764.5972345,81,80,69714,13972,3677,3755,5474,5413,7558,2137
1711214765.6090546,94,69,44766,16078,13966,7964,13031,11205,14592,12647
1711214766.611199,91,56,147257,32543,2342,7864,10707,5064,7551,11206
1711214767.6312032,87,44,102140,47328,5187,3446,11478,7456,2014,1460
1711214769.622124,74,38,616430,48960,4469,16548,7163,14438,12817,5412
1711214772.6207035,75,67,27144,162212,17296,10032,6996,10497,10637,12080
1711214773.605364,77,84,4551,4179,7204,5386,1935,4439,3587,5346
1711214774.618013,90,90,4719,9097,2451,21480,8493,8885,15124,12271
1711214775.6137786,80,81,298036,7714,2366,3467,2531,2097,2714,1881
