,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711934261.3175035,51,30,48503,17107,1465,190,1381,2768,1159,609
1711934263.3251483,14,40,80935,97613,24531,15546,6389,4542,3488,4420
1711934264.313654,14,40,2090922,524160,146286,37651,210999,71098,50704,47540
1711934265.3026683,14,40,127845,2735,233,476,561,235,342,112
1711934266.3215137,14,40,628919,72623,7365,9698,12823,15654,11874,10499
1711934267.309663,35,40,248890,22039,3989,2913,12118,4567,4637,3484
1711934268.2991874,44,41,20433,39744,3736,3111,8056,19564,17131,15676
1711934270.3079445,96,53,44287,13383,4385,6921,6892,3254,2657,2158
1711934271.3281808,97,64,4253,20138,43352,8311,24562,28427,9724,12943
1711934272.3180933,78,77,107757,21378,8611,1657,5508,3770,2372,4216
1711934273.3407845,74,78,85840,22772,33554,1848,9438,8723,5517,7779
1711934274.3017867,56,74,424537,95491,23167,9020,5942,5847,2446,3407
1711934275.3233793,56,69,8364,12390,14571,9945,22425,14049,8411,11144
1711934276.3158789,63,77,122640,68670,23528,42962,11430,26138,7713,12768
1711934278.3308794,84,78,54231,4734,6773,2360,6073,3501,1703,1306
1711934279.32238,88,84,7144,4647,24472,11014,8841,20887,11573,10615
1711934280.3143795,93,90,9398,5026,20399,7571,5607,9258,5830,3131
1711934281.3048756,90,96,65530,9430,6547,7946,1467,2178,1715,2347
1711934282.3279629,90,96,72393,6886,9464,1078,4040,4792,2183,1398
1711934283.3194528,70,84,224157,51174,18397,4561,33673,12514,8619,13536
1711934284.3114524,69,69,464354,159287,39361,10088,11012,45111,16836,5728
1711934286.3261175,53,60,132588,44148,18969,6732,18127,4574,7200,4808
1711934287.318118,57,60,775741,38413,12046,5482,14356,13186,6784,4902
1711934288.341615,47,64,972169,70844,29879,4649,7395,10848,12805,7480
1711934289.3021147,56,64,857544,69735,39721,62618,29176,46413,17705,17036
1711934290.319332,87,53,53783,36419,2472,4883,22144,19029,38786,10070
1711934291.3115351,97,56,2378968,41623,29793,13119,13152,55609,11992,14312
1711934292.2998402,87,53,778657,1010986,166254,127761,42304,62179,29410,13028
1711934293.3205173,57,44,556415,166219,29684,23986,12834,8969,5016,1408
1711934294.310147,40,63,176276,31895,23793,14571,8724,11104,7399,8271
1711934295.2991507,40,69,16076,4938,19498,15480,13284,28328,14798,7318
