,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711680628.5420995,53,35,493,8299,1236,2284,2300,1996,2514,792
1711680629.5444925,54,57,204888,32307,38091,13047,10250,5520,6924,4004
1711680630.5530796,70,48,38764,25891,9828,1983,10107,8466,6919,7321
1711680631.6120763,69,40,91739,17899,5356,622,974,1271,2632,1008
1711680632.5717351,61,51,38970,61636,22607,17405,3305,8570,11914,8058
1711680633.5676708,78,47,39500,22328,23154,10185,4997,13065,9899,7043
1711680634.5636363,70,57,120144,35864,4386,17225,5745,8187,11724,8363
1711680635.5602236,90,54,7239,25616,6306,5154,9175,8953,10497,12901
1711680636.5599332,100,37,112370,27892,7325,4313,9796,7573,7567,12945
1711680637.5653014,96,13,1253228,77672,15236,20756,4818,21567,7677,20757
1711680638.5987363,100,1,24695,32383,3615,7654,5387,15443,8172,33312
1711680639.5651271,100,13,12582,16210,23716,2816,16875,19965,13563,8441
1711680640.5593548,100,21,25732,45094,7328,16615,8490,9425,8845,8113
1711680641.5566354,100,27,71995,13495,9678,1357,6936,2938,3631,3782
1711680642.582509,90,61,340543,26602,31391,9202,3563,11028,5534,7272
1711680643.5795264,75,63,169003,101716,59068,11146,6544,22226,8292,16320
1711680644.5456538,60,50,1651072,748003,25427,23598,34293,26951,16906,43424
1711680645.545482,60,56,257862,74397,14632,34046,15834,16710,25582,15959
1711680646.5716786,51,48,262485,59187,24907,10899,14485,6420,6668,6418
1711680647.5701299,41,34,290853,99415,6310,6469,4196,6430,3449,7193
1711680648.56703,48,47,1197538,290312,32195,17722,18860,19563,34643,45177
1711680649.5914338,61,38,3669,21821,3091,14217,25039,22130,18220,5856
1711680650.5578334,80,34,16073,26401,14676,5499,20796,17874,15228,13914
1711680651.5544622,100,51,55920,12894,20328,3570,14435,23330,26791,17385
1711680652.553268,100,60,442696,38584,12893,4140,5907,18561,26968,20308
1711680653.5510638,100,54,11581,29355,8240,3702,24499,13331,23898,17429
1711680654.584012,100,60,12329,31890,16421,5227,10633,9715,15750,6991
1711680655.5482125,81,51,1142805,129553,12674,37769,40346,11292,16819,11602
1711680656.5775795,57,41,3641660,229369,19842,11609,17361,9865,20477,13391
1711680658.5720525,23,61,558765,34459,9209,10971,5928,2561,5844,2309
1711680659.5719192,47,61,30677,11895,2430,11516,14765,23931,6014,9597
1711680660.5639873,60,80,35530,13207,2133,8032,3583,3786,6445,1607
1711680661.5633805,75,83,50058,22888,15369,13851,4717,11250,19943,6469
1711680662.5621455,84,94,29547,31807,62224,12874,5253,16317,10103,4787
1711680663.600774,57,94,20501,18681,731,5714,3009,1638,2899,3397
1711680664.5586529,56,80,37520,144533,20647,14751,33152,23116,16857,14097
1711680665.555504,63,69,297471,33720,21528,9203,18235,26505,44892,9464
1711680666.5536807,63,37,28494,71734,4012,8916,27120,12778,17958,16480
1711680667.5919502,78,44,51647,29283,8644,19291,9177,16881,19590,14084
1711680668.559377,84,44,43547,32434,3773,4842,7360,10996,27419,8431
1711680669.551011,78,60,12474,10744,39290,9508,12547,11355,21485,11348
1711680670.582562,90,70,19090,21836,9890,2110,4804,18477,29459,16603
1711680671.5455773,93,54,31423,37306,4628,4624,5803,21189,20940,6202
1711680672.5572917,97,70,5138,13850,14716,6433,6708,15323,19171,8858
1711680673.5601127,88,63,337977,22750,17651,6630,3398,3190,5720,1898
1711680674.5883918,87,66,18316,34401,9757,10484,2338,26583,9000,9761
1711680675.5864952,90,66,18656,33791,4559,5873,11804,27417,17938,8846
1711680676.550852,87,50,128565,32911,7978,3202,11236,13129,9572,9769
1711680677.5687883,96,47,10677,31876,17501,7835,5671,10361,7806,13664
1711680678.5630574,90,47,16569,15797,5467,5113,12192,6080,7796,4947
1711680679.5590446,88,61,8814,17315,9869,9540,5309,17353,5881,10796
1711680680.5563188,88,74,3127,21140,9470,7690,9428,12677,11888,7593
1711680681.5511992,88,70,26914,45883,28031,6375,11721,14161,4798,11747
1711680682.5488591,84,83,7743,26959,18073,11462,8100,8918,4201,8621
1711680683.5455287,83,80,17144,12103,6591,4351,2446,10838,6592,3896
1711680686.5836923,87,81,33209,5820,3728,12271,15480,14923,8148,3575
1711680687.5523317,66,81,93849,17075,6856,2181,2806,1295,661,1205
1711680688.568486,64,80,21113,34057,14975,3558,34074,6172,12852,6147
1711680689.562647,78,69,10514,5344,6902,8619,13325,11291,6552,8638
1711680690.5552278,74,75,38356,5717,5705,16641,12640,10986,7830,3390
1711680691.5637243,80,87,5416,23332,20160,10994,2229,6473,6887,2573
1711680692.5957756,77,81,26001,21692,884,4203,4232,2308,1093,1153
1711680693.5502586,69,93,1870810,39291,57135,46519,8608,32844,9153,1561
1711680694.5475707,69,93,829327,65338,48262,36368,17798,3652,4393,1637
1711680695.5769112,50,84,127169,16174,3641,2552,1045,1108,660,428
