,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711218783.8215647,30,44,1972132,63124,19924,7370,11013,5642,8256,2884
1711218784.826261,47,43,690359,194922,20444,37010,17211,52850,12514,20954
1711218785.8107183,64,57,23659,15780,29664,3042,7044,12135,13748,4326
1711218787.824109,77,63,173334,59514,8460,17817,4675,7370,3890,4720
1711218788.830962,84,77,36280,1356,2239,6087,3165,7182,6740,4464
1711218789.8187222,88,77,4497,585,4271,2223,1464,5015,1885,3725
1711218790.8150842,94,80,78023,5938,1061,5151,3308,3506,1095,1070
1711218791.805847,84,69,1103148,205156,9752,19947,11480,14203,4969,3258
1711218792.8224478,43,51,88015,1131483,106990,71425,28691,29365,40928,34297
1711218793.8338804,20,48,331959,109752,63449,26704,12844,25510,32166,26058
1711218794.804616,20,53,6069,16751,15136,18518,9974,12362,35145,6545
1711218795.8243325,43,69,18072,8055,2385,10522,5862,6615,4441,3098
1711218796.816061,48,77,878817,255278,53887,27237,17549,11603,22525,25943
1711218797.815981,40,74,1063819,208365,65610,40966,10938,22007,9336,9285
1711218798.8028846,14,47,992769,243323,9695,5376,7327,7266,7938,7191
1711218799.8245122,1,41,770142,153384,27768,34343,16004,21174,8900,7380
1711218800.8261893,8,47,434274,32369,11770,7665,8626,2921,2213,3000
1711218801.7912748,8,43,2640126,476950,53864,127455,56077,50100,16939,60728
1711218802.809751,17,54,392134,74426,11870,5388,11837,6607,12582,3759
1711218803.8284855,13,60,552944,49502,15916,23509,4055,5297,8964,9710
1711218804.8179748,20,60,431342,126931,33818,29810,14799,18092,26049,7059
1711218805.8075988,21,74,541776,90440,100552,48984,9228,21913,4957,11293
1711218806.8158567,20,84,1111375,84604,54046,13674,16134,10096,9126,8320
1711218807.812697,38,81,258649,45510,25752,4626,5673,22246,9934,4887
1711218808.8224406,43,88,1902455,67186,52398,14240,8481,19917,16443,11738
1711218809.8127458,40,70,879881,113196,4576,35193,14683,12110,12943,9704
1711218810.8231318,47,63,707127,100887,5211,30644,22401,15026,14207,6582
1711218811.8165624,35,64,73443,13319,7195,3510,6600,2476,7671,9379
1711218812.8237276,26,74,1138111,59726,93534,38854,8993,13181,4716,8191
1711218813.8160408,35,75,140217,11572,2607,2682,1125,2517,2496,2402
1711218814.8051786,27,70,1229931,899197,103196,94747,185034,67743,46229,71209
1711218815.8240943,21,84,1839290,122241,223270,108858,35134,26902,22563,10571
1711218816.8041332,20,74,2071910,55425,11638,27570,10632,6096,9869,4378
1711218817.807503,14,66,387128,203535,8365,37349,9253,22664,12737,2738
1711218818.804078,20,75,65660,42056,14521,6064,3814,6351,5090,4636
1711218819.8084202,29,47,705038,25883,1979,1405,2051,3973,6445,10444
1711218820.8061259,21,40,1311930,1224589,313290,39429,19627,50714,97738,27262
1711218821.8134305,26,41,1565236,181752,21855,33351,18764,30875,29943,12049
1711218822.8105357,29,38,96138,98560,17520,13897,6924,15585,5136,5793
1711218823.8049393,23,44,2199862,98597,13397,13323,15953,9773,5877,3991
1711218825.8072093,51,53,1647,19067,11822,5332,5217,22562,10136,13332
1711218826.8093169,66,54,6952,15986,5771,5803,7513,12932,3952,6809
1711218827.8048408,74,53,83922,20187,3099,1423,879,3301,5080,3130
1711218828.8316417,74,51,147546,53519,7660,11654,5039,5520,5369,3216
1711218829.8104773,66,48,10668,15471,6464,3797,10766,8275,12466,9470
1711218830.829856,67,47,18787,24382,6452,5817,3538,18873,9716,10542
1711218832.797501,74,51,31720,32065,11217,8340,8306,7746,5374,2244
1711218833.809359,50,50,173934,24684,4337,2740,1928,1609,984,402
1711218834.8130336,20,51,519053,45382,5286,9764,2466,2898,2429,1121
1711218836.835787,29,51,137871,84690,27100,3282,7527,10143,4024,2515
1711218837.8078542,60,53,2973,15941,5717,3510,4853,14497,8713,6903
1711218838.8108642,93,53,19100,7456,8244,4490,14085,19787,9747,6865
1711218839.806594,100,44,19498,6421,5569,1982,8629,30008,12404,9337
1711218840.806655,90,26,612300,345352,8518,8734,32190,11478,8898,2081
1711218841.8054655,69,40,13876,3333,2106,7570,4376,2407,2227,2414
1711218842.817518,63,40,4863,6263,2491,4032,1984,12342,10829,7128
