,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711931014.0471582,30,27,181661,125072,44686,8496,6479,14414,4241,6446
1711931015.035649,47,26,156111,37395,5768,14573,4559,10493,6303,5825
1711931016.055066,40,41,142977,29987,38396,29939,5825,6529,4912,2744
1711931017.0424151,43,56,76022,33310,22488,10829,9438,4888,5005,2621
1711931018.0602822,29,57,302555,75765,31892,15408,27193,5698,3892,3648
1711931019.047902,23,67,92706,12523,20133,2454,5449,4593,2180,3025
1711931020.067151,30,61,49401,15270,20580,3584,5495,3816,5815,5053
1711931021.0546467,53,53,150591,17268,6220,3015,2143,5308,1052,653
1711931022.0431519,75,60,664856,39342,25548,18183,10111,10785,3000,2695
1711931023.033251,77,56,86745,39773,44503,6416,9197,12622,3474,3076
1711931024.0506437,78,54,1094187,36756,17551,20697,6356,8096,4183,5788
1711931025.0389135,43,54,83017,58621,13194,16943,19257,3291,4800,2941
1711931027.0457659,41,37,58091,58085,8870,7842,29071,4804,5798,4877
1711931028.066197,44,21,48669,10385,1172,1330,676,1578,316,405
1711931029.0566633,77,30,65341,18882,29097,6738,5371,9856,5007,2932
1711931030.0481286,69,43,59463,10844,25812,19301,11737,9468,3104,6297
1711931031.066323,81,57,52459,37325,36333,3656,6496,8670,4133,3894
1711931032.0531502,67,69,166527,18614,4034,9529,3876,1965,774,629
1711931034.031143,34,74,52581,35157,17849,9406,16025,10253,4694,2545
1711931035.0486622,26,63,358780,40105,8776,10924,14914,5066,3438,1255
1711931036.0356543,37,66,869047,24522,18649,13275,7509,5668,8098,2585
1711931037.0874684,43,47,216287,68428,23874,28082,19511,5931,6052,4364
1711931038.044102,38,56,31980,17463,34140,14362,7654,8247,4518,3902
1711931039.033067,51,70,68379,15915,30076,17386,8254,10471,4811,4475
1711931040.0535443,51,77,62228,42260,55236,24102,8784,12373,6273,4330
1711931041.0401397,83,77,201969,8126,8123,2965,4939,4289,1830,2404
1711931042.0275183,69,70,57795,32164,25459,7056,4010,3942,1360,767
1711931043.0483928,48,64,420224,99400,58328,26389,13166,11058,4117,5272
1711931044.0371532,51,57,85432,25530,21989,7532,9764,6963,4592,3420
1711931045.0561473,56,60,65864,13112,12343,10796,10111,9513,5339,7981
1711931046.074103,63,75,36393,7160,67834,2734,9575,7104,5915,4831
1711931047.030651,51,60,250260,254578,9933,36740,14258,10547,7977,5524
1711931048.0495715,61,60,29177,19209,17186,3448,4094,7364,2211,4632
1711931049.0391674,48,77,5932,1540,7665,24525,2577,5336,4261,2882
1711931050.0280955,43,74,10852,14793,16488,45109,10440,5123,1258,3152
1711931051.0477803,66,97,39592,11470,11501,19340,3921,4228,2632,3515
1711931052.0372717,67,100,44230,12074,32660,6583,9214,10863,1752,4625
1711931053.0566518,80,93,35910,12575,17232,15904,5494,12491,3171,1670
1711931054.0467722,91,91,16590,13008,10149,24222,1240,5848,2781,1632
1711931055.0356672,97,94,17857,2931,26086,10038,5815,5968,1326,1165
1711931056.0554893,97,91,9622,4412,8807,6343,9475,3868,1893,2507
1711931057.045148,56,66,72675,72915,8276,1597,5814,1516,1353,234
1711931058.0356498,50,63,17121,14801,31601,2419,8871,2616,2009,1371
1711931059.0560367,41,56,7115,10467,15372,7990,5500,2358,2484,1927
1711931060.0451825,29,61,6128,6440,26653,3328,13961,3365,2298,660
1711931061.0651462,70,81,10534,9382,15453,2767,6078,8962,1424,1727
1711931062.055652,81,84,3188,8127,20204,17029,6526,5183,3529,1079
1711931064.0339968,100,81,10843,10370,11131,6385,1921,6581,3184,1430
1711931065.0530245,80,96,10204,6256,40646,3882,5727,3119,1838,1988
1711931066.0426672,66,94,9545,19698,37287,9449,2875,3288,2020,1814
1711931067.0316586,66,93,8564,7796,16931,4420,4292,5243,1744,3639
1711931068.0479605,51,83,475110,54768,13201,9656,7570,6549,2784,1817
1711931070.05615,67,63,8718,12661,8281,13807,3976,5485,1922,1231
