,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711678433.653586,48,51,204606,107997,20797,84496,26988,13335,9204,7994
1711678434.6565928,53,40,179710,153939,16251,6178,6445,6180,15958,5175
1711678435.6531978,64,37,1330522,203559,48867,6286,32345,21529,41549,27723
1711678436.6488447,78,38,1572015,117220,23727,27856,18525,18483,34754,11273
1711678437.6518445,78,38,1522864,284866,87035,76972,59236,15428,31732,23670
1711678438.6527827,80,38,542680,49195,30442,10306,5914,5779,4335,3869
1711678439.651952,88,64,315556,53790,38810,15712,10175,11077,9971,8071
1711678440.6507413,84,74,2149301,437878,97785,103205,73327,35445,86925,49528
1711678441.6517107,75,63,1479128,775391,44176,93519,28368,30458,31489,40325
1711678442.6510763,78,41,1217539,66599,7216,6693,21802,7531,13477,7010
1711678443.6510684,78,21,262172,82776,4547,12357,5307,9066,3633,7025
1711678444.6488943,74,41,484849,38367,117146,33069,12860,6090,13751,12230
1711678445.649456,81,40,238587,61564,4200,10213,4008,7935,8995,8171
1711678446.654001,78,54,912364,377526,131102,160718,71152,42270,31854,44492
1711678447.648206,80,77,1528308,67613,97586,138126,73325,36807,36952,42569
1711678448.6481037,90,48,798511,70773,9950,11083,2731,10409,18763,10104
1711678449.644539,93,61,17927,8162,9487,4245,10845,3112,5068,3184
1711678450.6740239,87,44,128869,69148,8859,3349,8402,2252,6459,5682
1711678451.640345,91,29,605937,58786,998,37313,25086,17709,5729,7437
1711678452.6424358,84,54,480043,42557,130967,19405,29709,9416,7190,10387
1711678453.641747,80,56,152015,75879,67887,17487,22830,12064,14665,9675
1711678454.6388586,91,74,94184,68139,47319,10007,19425,15666,5868,2214
1711678455.6379082,77,80,635686,101589,57890,26336,22721,6041,4200,2645
1711678456.636988,77,60,126845,86820,16886,24311,11274,6757,2219,2842
1711678457.6687384,74,48,160149,77695,14508,16424,26319,5804,4854,2712
1711678458.6342387,74,61,40970,12699,10163,26585,2585,6126,7166,2601
1711678459.6315427,88,61,1123914,151515,114508,44518,40050,63225,96987,25867
1711678460.6301508,100,61,557664,21385,1795,15932,5390,11595,6570,11338
1711678462.6525905,91,63,262272,73508,22535,37407,5333,4167,2212,1363
