,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711219424.4458823,54,40,185774,110254,28380,9689,9701,9167,5120,5281
1711219425.4432147,78,27,62971,20956,2015,2856,3297,6489,4142,3122
1711219426.4626014,81,14,609119,493418,48885,23849,26366,41713,13791,5765
1711219427.4664936,100,21,65500,6563,1425,14554,8296,24577,26609,18810
1711219428.4462767,90,30,1110154,391771,180738,77922,14360,66895,20687,9307
1711219429.4667766,51,41,79478,35320,6864,3312,1789,1243,1726,1422
1711219430.4621277,69,66,8730,5823,10091,5931,4085,19983,15481,8736
1711219431.4665415,47,51,98123,77253,12128,3826,3629,9550,2200,4571
1711219432.4446695,43,44,1287634,84474,21589,14716,6059,10722,6801,3080
1711219433.4418197,51,44,104631,60454,13757,2682,4299,4121,1814,3099
1711219434.4599965,35,29,285752,81218,18866,5120,2531,16134,6312,7847
1711219435.4388547,29,30,339854,99194,20473,5139,8875,8924,11176,7583
1711219436.4446642,27,16,180224,55680,5411,3187,2933,5590,12179,8787
1711219437.4386024,23,23,213985,268473,94559,13845,7902,12859,12320,5876
1711219438.4508772,40,20,27064,4169,1018,1447,2878,5309,1942,4700
1711219439.461447,48,47,28454,22513,26951,11895,7948,8396,17403,7587
1711219440.4579906,63,60,6388,23420,9725,4717,14819,12999,10606,10312
1711219441.4662778,75,53,1411856,118540,20935,13920,7425,18318,8259,9488
1711219442.4592223,47,61,665414,245356,69362,24347,22299,17047,10584,6055
1711219443.4513652,37,34,416935,83711,2899,13740,6174,6139,4907,7909
1711219444.4406354,21,35,185068,20776,4530,3743,4429,2278,3116,1046
1711219445.467227,21,61,1578671,83134,159043,55730,14432,37815,13496,15207
1711219446.4674025,29,57,511182,111620,29521,18968,13287,15776,7610,4895
1711219447.4597006,26,64,58889,8097,2230,1131,1177,529,1434,1102
1711219448.4472919,40,63,442178,139192,72901,27113,77834,56174,10348,12233
1711219449.4423835,57,34,11373,3540,414,1790,3617,4044,5133,2380
1711219450.4528434,63,34,336246,64860,19609,11067,9699,17511,2233,8102
1711219452.453761,61,26,2786758,203383,14708,30728,28008,14097,3866,2875
1711219453.440731,66,30,5941,6343,4944,2733,2961,16098,17509,11695
1711219455.4628491,70,11,1451596,484624,11103,17730,14017,50786,12559,13606
1711219456.4590557,70,27,624581,409354,158206,72699,20427,39175,7774,7620
1711219457.463925,47,37,1888956,80550,25826,7216,13562,10149,6255,4210
1711219458.450439,48,41,3518,10952,2124,10824,7275,19622,27449,12014
1711219459.4655674,48,60,562846,302009,73526,20668,47127,42562,25996,19225
1711219460.464905,77,40,12501,4694,857,895,4667,7103,9237,1797
1711219461.4450777,91,43,355408,24689,6805,17805,9618,19567,10545,15010
1711219462.440191,78,48,985820,41950,27476,21981,40217,19340,7639,2782
1711219463.4451423,94,40,30641,6918,587,1108,2489,4817,4188,2494
1711219464.454394,64,66,165569,241919,114523,118260,19602,25285,16091,9438
1711219465.4517639,63,66,45443,6473,2205,5947,7071,5209,2228,2564
1711219466.4493518,63,54,153172,47507,9835,3509,12125,12384,4228,8432
1711219467.4420595,29,53,64182,67717,2763,6152,4925,1414,911,933
1711219468.4385915,47,35,49707,13221,154,3785,4090,5080,2762,2982
1711219469.4407673,26,41,281510,75328,43867,20417,6411,6919,3398,1071
1711219470.4535255,16,41,338662,66132,11091,4189,7455,6940,8127,7344
1711219471.448308,35,60,149620,46567,19544,8899,6914,7689,4371,3260
1711219472.4448647,21,61,1708173,220952,36160,23764,17257,20488,5035,9506
1711219473.4567091,40,53,159226,16184,3124,10754,7765,9066,4273,3899
1711219474.444959,37,60,924762,229005,93485,8545,14649,23263,12116,10036
1711219475.4490578,53,50,35567,15796,3880,3694,8327,13047,15127,9902
1711219476.4418318,40,50,242338,78863,16188,4214,2310,1814,3021,1402
1711219477.4377,34,56,213445,7398,5316,3542,4367,2488,1816,2502
1711219478.4641309,27,40,470691,433520,12496,40729,45578,19454,22589,17912
1711219479.4394252,7,56,723297,46474,30050,9004,3779,6006,4418,2455
1711219480.4647856,21,57,78286,23787,1619,6536,3105,2518,3736,1462
1711219482.4429755,44,69,19471,4177,2463,4729,1926,9004,2727,1455
1711219483.4617019,48,67,179585,50799,40203,6106,10458,9437,2891,1546
1711219484.464545,63,78,12321,14713,11140,8367,5503,11531,5172,4558
1711219485.4668648,77,90,419890,7916,8848,15342,10717,10183,8405,8654
1711219486.4377806,56,74,44685,73745,8527,2398,2821,9345,2708,1506
1711219488.437978,64,74,542555,5011,9175,5706,13302,8017,6755,8377
1711219489.457673,51,50,760358,908576,101123,33451,24077,75213,9766,18902
1711219490.4535947,44,50,868065,133312,571,17668,7188,9885,9682,11672
1711219492.4610379,23,57,331913,37887,21362,9823,4989,7429,4214,3722
1711219493.4486873,37,77,211976,43501,27045,16214,9241,23280,46197,28715
1711219494.4581149,35,78,188397,61225,7937,1288,2736,3764,3869,1392
1711219495.4630375,34,69,1670554,196984,89648,44526,21181,23610,17508,28521
1711219496.4599693,23,57,1419625,1141673,314794,74440,145129,56612,40041,32639
1711219498.4434466,7,53,140324,20649,19,1194,1661,1177,1216,566
1711219499.462169,7,38,2007303,145985,23150,9574,15547,10383,5976,4396
1711219501.4575026,34,51,7465,1874,2191,2108,897,3903,2789,3738
1711219502.4422936,29,81,104680,36594,12985,10144,1438,2361,1657,4006
1711219503.4448614,34,97,1180621,108421,76816,37257,20342,19848,15229,8905
1711219504.473387,50,81,595531,10744,2603,2220,696,3920,3895,3657
1711219505.458965,26,50,1047494,432075,19680,7914,43138,30136,48795,34041
1711219506.4404635,34,30,652598,405159,53125,9231,22623,37534,11190,4740
1711219507.4577003,38,14,984619,188820,37048,7700,11998,32337,15795,33157
1711219508.4471116,24,21,1524039,155046,33127,81445,34693,17137,40381,47435
1711219509.4463146,24,43,1132837,275234,41458,62806,46277,24530,20275,20117
1711219510.4390936,26,66,530355,14537,13593,7002,8514,3626,4193,2075
1711219512.4501293,23,70,1617965,1002367,565297,139132,207184,309684,122072,85915
1711219513.462869,24,66,758384,193881,36634,9477,10355,20109,15789,15529
1711219514.4604244,24,50,502940,45185,6831,3613,4354,5625,1834,1510
1711219516.445215,37,38,1296147,762313,54691,53401,19975,42297,51296,20351
1711219517.460975,27,63,780629,101503,186871,62261,54514,10850,7832,11180
1711219518.4285336,21,63,1017842,95127,14776,9698,21331,6243,19558,6911
1711219519.4631484,14,66,44154,11843,4230,9453,5014,5641,4791,5252
1711219520.4655077,10,67,299013,81221,10994,1782,3733,2699,3460,3191
1711219523.4525795,21,56,1013124,55322,22177,7925,6710,5658,6485,3056
1711219524.4474962,27,77,1242290,311502,258453,17227,70810,36208,25330,15423
