,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1710892408.903989,40,57,37519,26051,3844,1571,996,2017,1843,989
1710892409.9080405,24,54,105473,27372,9036,4319,3595,2509,2958,753
1710892410.885531,26,38,73241,25134,1009,1924,2653,2425,904,1201
1710892411.8831978,24,44,87934,33148,6582,5693,2645,2385,819,1896
1710892412.8850467,41,54,1904,8354,9805,14170,17900,16407,8045,6405
1710892413.9013996,48,61,61317,13945,18142,1045,7522,5075,2818,3001
1710892414.9032874,56,74,103661,31862,13805,9344,13432,12744,6772,9827
1710892415.8799798,64,64,22037,32157,2358,2745,3185,5418,2292,1448
1710892416.913579,60,74,10321,432,1466,1729,961,1161,3169,2373
1710892417.9041572,74,61,5156,9108,2127,4410,13061,9831,21665,16924
1710892418.9152496,69,63,34358,8962,5939,3972,4751,3340,3252,1246
1710892419.903883,77,77,3936,12903,7378,4039,3623,6556,6173,8672
1710892420.884282,77,64,9446,24687,9812,5761,4126,13546,6808,5942
1710892421.8847642,63,66,30047,30366,3736,4885,2531,4868,5224,1659
1710892422.8891928,54,69,47081,67754,27178,26522,4080,7897,6122,5993
1710892423.9071443,50,75,30206,22335,4855,31803,4433,8779,12425,6741
1710892424.9045835,44,70,8204,39001,7227,8271,23962,10386,14156,5572
1710892425.8850954,48,69,17253,19337,3492,2383,4894,4328,3504,2287
1710892426.9231682,51,70,811904,87846,33220,54700,11495,16944,11045,5288
1710892427.8835664,63,66,258265,4602,5102,4939,2842,8278,1319,1555
1710892428.8877635,66,67,69543,35711,11298,4487,11139,13887,7896,7457
1710892429.900534,69,69,83174,39767,7511,6945,5920,13331,3923,5395
1710892430.8869476,69,66,130221,63216,21741,21206,4110,11912,11999,6765
1710892431.8796735,54,69,71118,13671,9106,8020,3111,3243,1471,1980
1710892432.8882298,61,77,50241,11932,9547,24592,30572,25287,13208,10361
1710892434.884371,61,60,54015,32835,990,4594,6478,5406,9252,5190
1710892435.9060986,77,48,4555,9334,2216,4524,7781,9736,16089,5096
1710892436.901077,61,54,43739,11677,19546,1638,1724,3263,2291,1678
1710892437.8875616,63,60,91268,73004,31067,15549,14506,30272,9069,5345
1710892438.8822455,63,74,3638,11751,5777,3201,1661,3543,4531,2673
1710892440.906393,56,64,6519,41345,5224,16334,4175,12189,6185,4345
1710892442.9282136,64,63,54109,19634,6252,3476,2783,4182,2407,759
1710892444.8981023,57,50,233315,129022,4508,4304,12592,8252,7487,3122
1710892445.9097233,50,48,120398,38394,30459,2211,19682,24468,7351,9351
