,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1710891936.7657344,51,41,22651,4856,1214,427,3904,2564,942,643
1710891937.786106,69,50,22254,11514,4126,6706,9420,20610,2960,1729
1710891938.7720942,75,61,27006,26664,9822,8966,10035,5215,2491,3320
1710891939.7831051,83,77,20476,14239,7467,7209,2234,6966,942,717
1710891940.8012197,78,87,6486,6564,2928,2873,1324,2547,534,951
1710891941.774726,67,90,49113,18431,4238,10038,11280,7713,3121,1624
1710891942.7640984,67,83,229677,95655,14290,7012,6301,11431,2972,3951
1710891943.7743769,56,80,85083,27940,13098,2218,1812,1943,431,982
1710891944.769526,54,78,347185,54887,30800,14553,32733,13726,2404,3749
1710891945.7886395,53,80,26249,27305,5046,12778,10294,8470,3442,2717
1710891946.7766705,41,66,190800,138367,3208,1521,3702,2784,366,376
1710891947.7881777,47,53,122232,29733,1568,771,2396,3033,2173,1729
1710891948.808091,60,47,30942,8960,5315,683,7447,13333,10121,3795
1710891949.800993,61,44,29472,24668,7361,8577,11965,11501,1378,550
1710891950.7891,66,44,115392,94095,2301,890,2252,3408,1193,518
1710891951.7851267,56,56,73505,50044,10747,8185,2587,1623,497,639
1710891952.7660995,48,60,32108,32255,6475,7558,7715,11735,6256,1505
1710891953.7938266,35,53,73557,192641,21151,9792,9433,9706,2950,3464
1710891954.7745862,50,67,6622,5561,1774,1014,4755,2614,552,109
1710891955.7853434,60,66,20700,12396,4617,1438,3913,2299,1949,394
1710891956.796732,60,67,24177,12058,5922,863,3417,4012,802,897
1710891957.784135,75,66,9110,13520,184,4519,11648,8227,2296,1467
1710891958.7708862,70,78,16737,13233,19533,2900,6507,6211,3792,2271
1710891960.7659328,75,81,6954,22897,850,15009,5735,6167,2357,2374
1710891962.761846,63,93,12433,44176,22205,7460,7497,10983,1469,1462
1710891963.7815642,56,80,56039,105901,2749,18329,16011,7732,2336,2922
1710891964.7853508,57,81,42556,23287,8748,10567,2618,9903,4641,3587
1710891965.7737415,61,77,18644,17261,2251,3964,3759,5595,2191,2499
1710891966.80085,50,69,64743,44948,4594,4675,3045,1171,529,657
1710891967.7870905,54,80,106284,67587,37996,38302,26734,21175,4635,1677
1710891968.7678986,48,83,24612,40349,20373,17752,5595,6255,3318,2386
1710891969.7878478,53,83,17339,20388,6583,5257,12072,14460,2917,1306
1710891970.774603,63,78,285383,21984,939,2327,2438,2809,901,542
1710891971.7700036,70,77,15804,7073,5446,5249,7284,7744,3247,1602
1710891972.758994,78,69,33427,22234,4614,6482,2571,8589,3792,5474
1710891973.7714713,63,66,96888,60405,6767,3480,1333,3735,862,810
1710891975.7594244,50,74,70997,26221,7267,6043,2815,2020,634,746
1710891976.781105,40,67,151275,46316,4322,3780,2372,3820,1014,875
1710891977.7604582,35,70,81013,25667,4742,1957,1429,666,619,844
1710891978.774079,47,69,10597,4108,1385,1527,2973,4735,3338,3377
1710891979.797747,50,63,108833,25401,3079,3065,2916,2553,534,629
1710891980.7709558,57,66,190104,46057,8167,7616,9118,15460,4261,1871
1710891981.7597702,74,74,29559,5113,3355,2518,2539,1949,818,1034
1710891982.7781374,54,64,92614,52497,3236,992,1252,2340,1477,1031
1710891983.7898312,56,70,64307,15468,6071,4120,4954,2610,639,253
1710891984.7677784,51,70,26685,22844,4108,1567,535,3170,585,1082
1710891986.7604394,51,81,380138,91063,17726,17579,5402,6845,6185,7810
1710891987.7640507,54,75,30935,19209,1962,2834,2913,3917,677,1176
1710891988.7593787,57,74,351240,43094,2942,6561,7455,10296,5792,3140
1710891989.7681658,57,63,244782,24025,5734,732,9495,3815,686,347
1710891990.7595809,54,54,73184,39010,1068,4782,5961,1480,836,1075
1710891991.7858741,54,61,127225,19964,8969,9381,6736,8160,2973,2746
1710891993.760495,48,77,91522,27309,7418,6054,278,3075,2678,854
1710891994.780146,56,81,179169,28271,3451,5224,1362,3894,1746,2079
1710891995.759944,51,80,16727,21423,4406,10208,8315,3476,3831,2271
1710891997.7627294,63,75,4012,7468,5204,5098,5297,10228,4607,1347
1710891998.7800472,61,81,51725,19378,12884,1549,2247,2997,977,358
1710891999.7785308,53,80,59221,29261,5441,3184,1994,1334,894,748
1710892000.7954168,53,87,47218,9920,2703,4167,1764,1473,323,862
1710892001.7597802,50,88,28103,9886,13860,7835,18493,13253,4797,2449
1710892003.7815013,63,97,229444,12198,26903,23971,9839,5381,3423,2526
1710892004.782524,63,100,21275,19621,13502,25983,9021,5996,1905,1945
1710892005.7643049,50,96,83485,46967,9209,1297,1590,2980,705,471
1710892006.7841198,43,96,655666,105041,30928,7660,13190,10337,7130,2782
1710892007.7651546,53,81,9072,6312,3677,3034,10199,4860,2228,3086
1710892008.799467,54,75,67683,64283,28510,7372,5756,10344,2312,5504
1710892009.80371,64,87,6931,9158,11006,4745,3239,6267,1775,1250
1710892010.7742097,57,88,209900,38992,13036,5559,4402,1457,895,522
1710892011.761407,54,93,6631,11877,5452,6666,3262,5714,2083,1629
1710892013.786015,47,67,14023,19615,2162,4052,1795,5284,2206,1571
1710892015.7844527,47,38,89755,38831,4047,1327,682,3028,751,213
1710892016.7726126,56,53,367224,19829,11159,5824,5195,5469,5145,2768
1710892017.761948,51,66,4228,10776,15294,8514,4655,3650,2586,2512
1710892018.782021,53,87,71539,16425,12186,2235,3244,3863,4136,1660
1710892019.765739,61,97,96871,2409,1615,517,527,1109,772,569
1710892021.7597144,53,67,82308,82027,6008,3441,19036,7378,6126,5840
1710892023.7652414,43,70,6482,4451,2755,2426,1709,1196,622,272
1710892024.7671142,43,70,53049,66863,6374,4912,5310,3765,618,1189
1710892025.7963371,47,83,304344,12353,951,6434,2320,2766,465,335
1710892026.7770565,47,90,28472,26652,45101,16902,8455,4169,10504,5500
1710892027.7574885,51,80,16097,9266,1818,1619,2408,3781,2774,4742
1710892028.7746086,61,93,20018,14167,9435,13611,4208,8568,4434,2006
1710892029.768056,50,77,233883,101892,4282,1086,722,2507,1335,2500
1710892030.7591374,48,69,63287,78665,55430,7513,8069,5431,10278,8580
1710892031.778529,41,74,85719,66373,25778,3820,17236,11010,2904,3806
1710892033.782609,48,87,41750,7484,2027,2996,828,1539,2343,1527
1710892034.8000624,57,81,34052,40493,15865,8247,3269,10225,2396,3828
1710892036.7582703,63,77,156397,75719,11792,22606,9591,17056,8235,2237
