,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1710892117.2474153,43,51,9978,14266,10553,2997,6395,5920,2600,5057
1710892118.2205434,43,66,37955,11430,7935,4189,4293,2419,1491,1102
1710892119.2329557,51,75,2367,18502,6476,8805,7419,13376,5910,3902
1710892120.2203026,44,56,277922,36448,1061,882,1215,1796,1457,1118
1710892121.2564917,41,27,9524,63923,2235,3116,14857,11276,2796,2834
1710892122.2377386,53,24,19230,6324,12839,4666,16346,8437,14875,4290
1710892123.2206154,41,34,87004,24838,15261,9052,3703,4508,2329,1153
1710892124.2444825,57,67,2412,4255,5403,4174,3284,5576,1742,2141
1710892125.228661,41,74,85543,71817,3923,2825,2435,1575,3382,2134
1710892126.2246046,35,75,5981,22207,21588,11453,22734,9624,6286,5476
1710892127.228508,34,57,64780,19848,1471,3471,5146,2252,1594,2578
1710892128.2474308,21,47,6459,14360,5211,2380,5672,2013,1141,1250
1710892129.2195868,43,64,72923,1974,346,970,1202,795,150,290
1710892130.2612033,35,69,270708,36753,21667,20500,732,5884,3577,10527
1710892131.2372215,37,90,123627,25144,12658,25468,18705,7005,3658,4200
1710892132.236471,48,97,13428,4315,3619,3834,2708,4343,3220,1743
1710892133.2515821,47,87,62339,54713,5983,4489,6873,12228,8434,5994
1710892134.2221966,60,77,14424,5447,3061,2702,3376,3859,1921,885
1710892135.232743,57,53,126014,128886,16800,5574,8090,13137,2669,2528
1710892136.2292109,61,29,9784,17246,1716,2447,9466,11285,3972,4142
1710892137.225021,61,60,5979,18496,10800,30567,5786,12012,6241,3683
1710892138.228029,51,53,40956,14658,1793,4308,2304,2484,1318,1540
1710892139.2281823,56,67,17468,22066,9222,3409,3795,4645,10365,2874
1710892140.228492,53,67,96355,6245,577,626,1074,3125,1489,1129
1710892141.236224,48,43,256096,20875,2847,1766,2044,2367,849,1065
1710892142.2287052,54,53,29337,15288,11638,9634,10632,8930,6760,3887
1710892143.2252262,60,47,33414,33586,10582,6915,15432,13974,6530,4839
1710892144.2250032,60,66,6555,14408,9877,8161,6689,12456,4914,3717
1710892145.2212775,64,75,83854,9597,1318,3103,846,2378,2711,610
1710892146.2246907,56,61,51956,18540,659,3475,751,2092,585,1074
1710892147.259889,51,77,35807,23126,19532,17209,9277,9742,6822,1552
1710892148.2284355,38,57,93055,25633,2369,1372,585,2142,943,514
1710892149.228974,48,56,36777,10437,2657,7650,12748,12279,1455,3622
1710892150.2196693,44,64,48147,41566,14555,3108,2006,3625,1339,739
1710892151.219697,48,50,14338,24737,8297,2746,5917,8399,7596,5499
